beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4992751527174472,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4992549253096965,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.44665739996845316,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.44665687181225444,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,-0.4150812257538436,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,-0.4145408463895345,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,-0.40581702364890326,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.4,avoided,10,11,"|5,0>","|4,0>",0.0037861800432494874
0.1,-0.39110365796446844,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.38,avoided,7,10,"|3,1>","|5,0>",0.011870061898875406
0.1,-0.37637355023855185,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.37637298892238913,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.3106543417052346,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.307094094564165,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,-0.3033998172863965,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.24621818128769865,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24611516983682818,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,-0.2447453426551339,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,-0.18776505331246574,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.1719759441522656,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|3,1>","|1,2>",0.08888109504061958
0.1,-0.09666169009666419,crossing,9,10,"|1,2>","|5,0>",0.0
0.1,-0.0473995404364841,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.047399540436747344,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.09666169009667815,crossing,9,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|3,1>","|1,2>",0.0888810950407759
0.1,0.1719759441522411,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.18776505331252563,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.24474534265513542,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,0.24611516983674264,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,0.24621818128760384,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.3033998172863628,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.30709409456415016,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,0.3106543417052434,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.3763729889224114,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.37637355023854624,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.38,avoided,7,10,"|3,1>","|5,0>",0.011870061898548556
0.1,0.3911036579644241,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,0.4,avoided,10,11,"|5,0>","|4,0>",0.0037861800431642223
0.1,0.405817023648906,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.4145408463894959,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,0.4150812257538536,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,0.4466568718123527,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,0.4466573999684538,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.49925492530967375,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.4992751527173444,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4985308180134434,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49845002245280934,crossing,5,8,unlabeled,unlabeled,0.0
0.2,-0.49647238588678927,crossing,6,9,unlabeled,unlabeled,0.0
0.2,-0.4959132534523803,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.48978433052501735,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.48971702465053296,crossing,6,9,unlabeled,unlabeled,0.0
0.2,-0.4466797779945077,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.4466775541474512,crossing,4,7,"|2,1>","|3,0>",0.0
0.2,-0.42880253326252793,crossing,10,11,"|1,2>","|4,0>",0.0
0.2,-0.4214621194291684,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.41000000000000003,avoided,10,11,"|1,2>","|4,0>",0.014813616210552993
0.2,-0.4058209640880309,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.3911095726688243,crossing,2,4,"|0,1>","|2,1>",0.0
0.2,-0.38,avoided,8,10,"|5,0>","|1,2>",0.01885544121764582
0.2,-0.3763832683792999,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.3763808928852526,crossing,2,7,"|0,1>","|3,0>",0.0
0.2,-0.3457288630373621,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.3104085956240439,crossing,4,5,"|2,1>","|1,1>",0.0
0.2,-0.30699024344819603,crossing,6,10,"|0,2>","|1,2>",0.0
0.2,-0.30328647845413303,crossing,6,8,"|0,2>","|5,0>",0.0
0.2,-0.2955364874642545,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.24591513011774158,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,-0.24569810135698134,crossing,6,11,"|0,2>","|4,0>",0.0
0.2,-0.24535556778293793,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.23794240039025508,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.23401524184813433,crossing,8,9,"|5,0>","|3,1>",0.0
0.2,-0.22676252679233,crossing,9,10,"|3,1>","|1,2>",0.0
0.2,-0.22320798881304263,crossing,8,9,"|5,0>","|3,1>",0.0
0.2,-0.192835768263212,crossing,5,7,"|1,1>","|3,0>",0.0
0.2,-0.17156613933845585,crossing,4,6,"|2,1>","|0,2>",0.0
0.2,-0.1649555399173018,crossing,9,10,"|3,1>","|1,2>",0.0
0.2,-0.09589824588879726,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,-0.04999999999999999,avoided,4,11,"|2,1>","|4,0>",0.016357209374575632
0.2,0.050000000000000044,avoided,4,11,"|2,1>","|4,0>",0.016357209374596948
0.2,0.09589824588887592,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.16495553991726628,crossing,9,10,"|3,1>","|1,2>",0.0
0.2,0.17156613933843748,crossing,4,6,"|2,1>","|0,2>",0.0
0.2,0.19283576826315604,crossing,5,7,"|1,1>","|3,0>",0.0
0.2,0.22320798881304021,crossing,8,9,"|5,0>","|3,1>",0.0
0.2,0.22676252679233153,crossing,9,10,"|3,1>","|1,2>",0.0
0.2,0.23401524184813627,crossing,8,9,"|5,0>","|3,1>",0.0
0.2,0.2379424003902569,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.24535556778293777,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.24569810135693926,crossing,6,11,"|0,2>","|4,0>",0.0
0.2,0.24591513011763055,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,0.29553648746426703,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.303286478454106,crossing,6,8,"|0,2>","|5,0>",0.0
0.2,0.3069902434481796,crossing,6,10,"|0,2>","|1,2>",0.0
0.2,0.3104085956240365,crossing,4,5,"|2,1>","|1,1>",0.0
0.2,0.3457288630373586,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.3763808928852677,crossing,2,7,"|0,1>","|3,0>",0.0
0.2,0.3763832683792757,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.38,avoided,8,10,"|5,0>","|1,2>",0.018855441217311864
0.2,0.39110957266880136,crossing,2,4,"|0,1>","|2,1>",0.0
0.2,0.4058209640880269,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.41000000000000003,avoided,10,11,"|1,2>","|4,0>",0.014813616210439307
0.2,0.4214621194291394,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.4288025332625035,crossing,10,11,"|1,2>","|4,0>",0.0
0.2,0.44667755414743054,crossing,4,7,"|2,1>","|3,0>",0.0
0.2,0.446679777994515,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.4897170246437306,crossing,6,9,unlabeled,unlabeled,0.0
0.2,0.48978433052805037,crossing,4,7,unlabeled,unlabeled,0.0
0.2,0.4959132533951183,crossing,4,7,unlabeled,unlabeled,0.0
0.2,0.49647238589528914,crossing,6,9,unlabeled,unlabeled,0.0
0.2,0.4984500224528194,crossing,5,8,unlabeled,unlabeled,0.0
0.2,0.49853081801346333,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.497769898644671,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4975885685069909,crossing,5,6,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49719195666230026,crossing,8,9,unlabeled,unlabeled,0.0
