beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
0.005,-0.49993136762762913,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.4999312702111463,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4160591771219783,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,-0.41570188649319034,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.005,-0.39449263578561494,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,-0.39298066064416975,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.005,-0.3913768998597874,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.37666098763962763,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.3113023377616018,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.303989080607709,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,-0.2471229555717656,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.2471226707493247,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.005,-0.1902809188161941,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.1734550376619821,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,-0.054522911825359385,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.05452291182598943,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.17345503766167808,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,0.190280918815566,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.24712267074929206,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.005,0.24712295557081151,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.30398908060795715,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,0.3113023377615814,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.37666098763977385,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.39137689985980634,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.39298066064525494,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.005,0.3944926357889497,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,0.41570188649331985,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.005,0.41605917712184826,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,0.4999312702109441,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.49993136762780915,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4998625507787006,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49986216111673765,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.41610156890109407,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.01,-0.41582534588416836,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.01,-0.415,avoided,8,9,"|2,1>","|6,1>",0.0009345767580271058,0.9345767580271058
0.01,-0.39421140835171614,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,-0.3928491209308021,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.01,-0.3913357593540271,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.3766178387033409,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.31122155694329146,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
