beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49996001404750917,crossing,1,2,unlabeled,unlabeled,0.0
0.1,-0.4999592419410766,crossing,5,7,unlabeled,unlabeled,0.0
0.1,-0.4466380629405106,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.44663804372807486,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,-0.4358243781250254,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,-0.4358140425656726,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,-0.3755127353114768,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.33747127144610106,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,-0.3352089831454448,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,-0.31409158284441446,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,-0.24445574331145642,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,-0.24445450397277455,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.17636725781695822,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,-0.16526614336827777,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,-0.088789813288256,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.08878981328845115,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.16526614336818438,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,0.17636725781698226,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,0.24445450397272028,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.24445574331138722,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,0.31409158284434896,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,0.33520898314541847,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,0.33747127144611966,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,0.3755127353115043,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.4358140425656398,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,0.4358243781249953,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,0.44663804372825794,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,0.44663806294046576,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.49995924194057434,crossing,5,7,unlabeled,unlabeled,0.0
0.1,0.4999600140477268,crossing,1,2,unlabeled,unlabeled,0.0
