beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49993600378762915,crossing,1,2,unlabeled,unlabeled,0.0
0.1,-0.4999347681954297,crossing,5,7,unlabeled,unlabeled,0.0
0.1,-0.4466387542696635,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.4466387234805828,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,-0.43581409409386335,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,-0.4358037792475786,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,-0.3374313292227191,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,-0.335169114295813,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,-0.3140443646112577,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,-0.24438522188874523,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,-0.24438323784557758,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.17624609858563145,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,-0.1651388073649454,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,-0.08852800582549271,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.08852800582544966,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.16513880736491623,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,0.1762460985856033,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,0.24438323784558325,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.24438522188876236,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,0.31404436461120283,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,0.335169114295782,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,0.33743132922274655,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,0.4358037792474827,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,0.43581409409381766,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,0.44663872348057554,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,0.4466387542694112,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.4999347681958391,crossing,5,7,unlabeled,unlabeled,0.0
0.1,0.4999360037877113,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.4999865794998538,crossing,8,9,unlabeled,unlabeled,0.0
0.2,-0.4998706471921044,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.49986570321569823,crossing,5,7,unlabeled,unlabeled,0.0
0.2,-0.4466406324618001,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.4466405087813753,crossing,4,6,"|4,0>","|3,0>",0.0
0.2,-0.43582416064299795,crossing,3,9,"|0,1>",unlabeled,0.0
0.2,-0.4358139259383392,crossing,3,8,"|0,1>","|5,0>",0.0
0.2,-0.33739408272713717,crossing,5,9,"|1,1>",unlabeled,0.0
0.2,-0.33513585678751906,crossing,5,8,"|1,1>","|5,0>",0.0
0.2,-0.31398697282775123,crossing,3,4,"|0,1>","|4,0>",0.0
0.2,-0.24431100494441815,crossing,3,6,"|0,1>","|3,0>",0.0
0.2,-0.24430306527906456,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.17608689398685448,crossing,7,9,"|2,1>",unlabeled,0.0
0.2,-0.1649820973028982,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,-0.08823228634041708,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.0882322863400238,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.16498209730281285,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,0.17608689398692778,crossing,7,9,"|2,1>",unlabeled,0.0
