beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.9687180869415783,-1.8057441138807917e-05,1.8057441138807917e-05,0.0,0.968580430335976,0.9684427737303736,10.00790367922815,10.976466052122987,20.01580735830197,0.0,0.968580430335976,0.9684427737303736,10.007883966328166,3.874046232631713,10.976466052122987,3.8740462350230587,10.976325737386219,8.716603162084766,8.716603162098977,13.881931825990819,13.881931823531147,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9587230257636179,-1.8012311443271756e-05,1.8012311443271756e-05,0.0,1.0159779817580556,1.0732329377524934,10.00790367922815,11.023863648674762,20.01580735830197,0.0,1.0159779817580556,1.0732329377524934,10.00788413415745,3.9354949630802594,11.023863648674762,3.935545928825661,11.081115799912595,8.775772628326592,8.77577263205501,13.943431471366011,13.943380526732255,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9296482286429182,-1.787926368024273e-05,1.787926368024273e-05,0.0,1.1330374327251889,1.3364266368074595,10.00790367922815,11.140923232689659,20.01580735830197,0.0,1.1330374327251889,1.3364266368074595,10.007884539144356,4.0941394872850765,11.140923232689659,4.094959161903489,11.344309296690426,8.927849646718926,8.927849900534568,14.102844555937281,14.102024971538413,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8841104177528791,-1.7664850645360275e-05,1.7664850645360275e-05,0.0,1.2813516845334334,1.6785929513139877,10.00790367922815,11.289237698910938,20.01580735830197,0.0,1.2813516845334334,1.6785929513139877,10.007885056841758,4.309949688100289,11.289237698910938,4.314028267876836,11.68647544325546,9.133572753579415,9.133575653471155,14.321913404231736,14.317835047230915,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8261024952146272,-1.7378439054027695e-05,1.7378439054027695e-05,0.0,1.4388645346644466,2.051626574114266,10.00790367922815,11.446750835453543,20.01580735830197,0.0,1.4388645346644466,2.051626574114266,10.007885637254617,4.558412304305477,11.446750835453543,4.570944083172378,12.05950899991035,9.36958249928955,9.369598655029733,14.57882884033495,14.566297501905694,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7604808903753337,-1.7030505091497616e-05,1.7030505091497616e-05,0.0,1.5957286797149663,2.430976469054599,10.00790367922815,11.603615328438025,20.01580735830197,0.0,1.5957286797149663,2.430976469054599,10.007886280754803,4.826682382332365,11.603615328438025,4.856123576973516,12.438858962274196,9.62442161456795,9.624482357370539,14.864007822405028,14.834567392568886,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.44,-0.6923198756014131,-1.6631115954623965e-05,1.6631115954623965e-05,0.0,1.7477756538680183,2.8032314321346234,10.00790367922815,11.755662701980214,20.01580735830197,0.0,1.7477756538680183,2.8032314321346234,10.007887210367244,5.1654663333183635,11.755662701980214,5.107347948440577,12.81111413870758,9.892146651981875,9.892324438072535,15.115232756064017,15.173349931037478,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.43,-0.6262180316523995,-1.618873380948571e-05,1.618873380948571e-05,0.0,1.8933644576981692,3.160510883743939,10.00790367922815,11.90125194819251,20.01580735830197,0.0,1.8933644576981692,3.160510883743939,10.007887041456001,5.496866273704995,11.90125194819251,5.39552358116822,13.168393943558442,10.169292968731327,10.169732474267448,15.403408180624126,15.504749097555418,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.42,-0.5657012579032994,-1.5709501042238116e-05,1.5709501042238116e-05,0.0,2.0320132210515,3.4983251841997003,10.00790367922815,12.039901190778608,20.01580735830197,0.0,2.0320132210515,3.4983251841997003,10.007887881131126,5.848496316326134,12.039901190778608,5.687655721532508,13.50620871313913,10.453587371227343,10.454540149163847,15.695540115749111,15.856378264611351,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.41000000000000003,-0.5128927086005888,-1.5196472361367341e-05,1.5196472361367341e-05,0.0,2.16377852324797,3.8146643378953513,10.00790367922815,12.171667006003759,20.01580735830197,0.0,2.16377852324797,3.8146643378953513,10.007888563639654,6.218005199644608,12.171667006003759,5.98100631416014,13.822548415454094,10.74337476637129,10.745248096513706,15.98889051325824,16.225886204235906,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.4,-0.46854072449201567,-1.4648659828253585e-05,1.4648659828253585e-05,0.0,2.2889578564980297,4.109374988504044,10.00790367922815,12.296846887066351,20.01580735830197,0.0,2.2889578564980297,4.109374988504044,10.007889222968686,6.602315373790589,12.296846887066351,6.273404353967123,14.117259655168425,11.037342012091585,11.040748374595069,16.281288374158237,16.610195398863823,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.39,-0.4323375188384375,-1.4058817953355174e-05,1.4058817953355174e-05,0.0,2.407942101083222,4.383546683328007,10.00790367922815,12.415831721493419,20.01580735830197,0.0,2.407942101083222,4.383546683328007,10.00788987454007,6.997807970080373,12.415831721493419,6.563109087357702,14.391431946880118,11.334374787019044,11.340184826630093,16.57099294992696,17.005687000287026,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.38,-0.40335055567976497,-1.3407963308509352e-05,1.3407963308509352e-05,0.0,2.5211420265603124,4.63893349744086,10.00790367922815,12.529032297825154,20.01580735830197,0.0,2.5211420265603124,4.63893349744086,10.007890522045386,7.400663548235059,12.529032297825154,6.848723500574295,14.646819343613004,11.633479102059141,11.642872720952255,16.85660723100966,17.408541569665203,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
