beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4999760149260739,crossing,1,2,unlabeled,unlabeled,0.0
0.1,-0.4999755517149533,crossing,5,7,unlabeled,unlabeled,0.0
0.1,-0.4466375930565755,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.4466375815412883,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,-0.4358341977573992,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,-0.4358238489616979,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,-0.37551261770576455,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.3375058869251755,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,-0.33524373724203893,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,-0.3141324526727394,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,-0.24451750569964026,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,-0.2445167623934825,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.17647123506215165,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,-0.1653760350148102,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,-0.08901632511465819,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.08901632511487301,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.16537603501502843,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,0.17647123506194662,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,0.2445167623934424,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.24451750569945377,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,0.31413245267262596,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,0.3352437372419988,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,0.3375058869252639,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,0.3755126177057864,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.435823848961652,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,0.43583419775732324,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,0.4466375815411812,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,0.44663759305687134,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.49997555171602376,crossing,5,7,unlabeled,unlabeled,0.0
0.1,0.49997601492601484,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.499951517251533,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.49994966420720766,crossing,5,7,unlabeled,unlabeled,0.0
0.2,-0.4466383144538801,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.44663826831971787,crossing,4,6,"|4,0>","|3,0>",0.0
0.2,-0.4358319231846187,crossing,3,9,"|0,1>",unlabeled,0.0
0.2,-0.4358216033346098,crossing,3,8,"|0,1>","|5,0>",0.0
0.2,-0.3755127703828633,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.3374755376057854,crossing,5,9,"|1,1>",unlabeled,0.0
0.2,-0.33521447388105335,crossing,5,8,"|1,1>","|5,0>",0.0
0.2,-0.31409167978078834,crossing,3,4,"|0,1>","|4,0>",0.0
0.2,-0.24445946710547256,crossing,3,6,"|0,1>","|3,0>",0.0
0.2,-0.2444564921977044,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.1763634651808038,crossing,7,9,"|2,1>",unlabeled,0.0
0.2,-0.16526604298760073,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,-0.08879894124098739,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.08879894124022294,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.16526604298748165,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,0.1763634651806773,crossing,7,9,"|2,1>",unlabeled,0.0
0.2,0.24445649219773852,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,0.24445946710546526,crossing,3,6,"|0,1>","|3,0>",0.0
0.2,0.3140916797807907,crossing,3,4,"|0,1>","|4,0>",0.0
0.2,0.3352144738810972,crossing,5,8,"|1,1>","|5,0>",0.0
0.2,0.3374755376056883,crossing,5,9,"|1,1>",unlabeled,0.0
0.2,0.37551277038289593,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,0.4358216033344528,crossing,3,8,"|0,1>","|5,0>",0.0
0.2,0.43583192318446934,crossing,3,9,"|0,1>",unlabeled,0.0
0.2,0.44663826832014186,crossing,4,6,"|4,0>","|3,0>",0.0
0.2,0.4466383144532721,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,0.4999496642075808,crossing,5,7,unlabeled,unlabeled,0.0
0.2,0.49995151725223436,crossing,1,2,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49992652288575945,crossing,1,2,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4999223531533837,crossing,5,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.44663904782434655,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,-0.4466389438560166,crossing,4,6,"|4,0>","|3,0>",0.0
0.30000000000000004,-0.43584394830164513,crossing,3,9,"|0,1>",unlabeled,0.0
0.30000000000000004,-0.4358336674797353,crossing,3,8,"|0,1>","|5,0>",0.0
0.30000000000000004,-0.3755128896981406,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,-0.33747152115338136,crossing,5,9,"|1,1>",unlabeled,0.0
0.30000000000000004,-0.33521295388452976,crossing,5,8,"|1,1>","|5,0>",0.0
0.30000000000000004,-0.3140769227681608,crossing,3,4,"|0,1>","|4,0>",0.0
0.30000000000000004,-0.24444469817847783,crossing,3,6,"|0,1>","|3,0>",0.0
0.30000000000000004,-0.2444379154475021,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,-0.1763176587525248,crossing,7,9,"|2,1>",unlabeled,0.0
0.30000000000000004,-0.16522550027682809,crossing,4,5,"|4,0>","|1,1>",0.0
0.30000000000000004,-0.08873444985303311,crossing,7,8,"|2,1>","|5,0>",0.0
0.30000000000000004,0.08873444985306782,crossing,7,8,"|2,1>","|5,0>",0.0
0.30000000000000004,0.16522550027674604,crossing,4,5,"|4,0>","|1,1>",0.0
0.30000000000000004,0.17631765875253796,crossing,7,9,"|2,1>",unlabeled,0.0
0.30000000000000004,0.2444379154474578,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,0.24444469817842976,crossing,3,6,"|0,1>","|3,0>",0.0
0.30000000000000004,0.3140769227681242,crossing,3,4,"|0,1>","|4,0>",0.0
0.30000000000000004,0.33521295388447203,crossing,5,8,"|1,1>","|5,0>",0.0
0.30000000000000004,0.33747152115344314,crossing,5,9,"|1,1>",unlabeled,0.0
0.30000000000000004,0.3755128896981669,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,0.4358336674796944,crossing,3,8,"|0,1>","|5,0>",0.0
0.30000000000000004,0.43584394830159195,crossing,3,9,"|0,1>",unlabeled,0.0
0.30000000000000004,0.446638943856051,crossing,4,6,"|4,0>","|3,0>",0.0
0.30000000000000004,0.4466390478243031,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,0.49992235315359984,crossing,5,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.4999265228857109,crossing,1,2,unlabeled,unlabeled,0.0
0.4,-0.4999807933092642,crossing,8,9,unlabeled,unlabeled,0.0
0.4,-0.49990103852788,crossing,1,2,unlabeled,unlabeled,0.0
0.4,-0.4998936224955925,crossing,5,7,unlabeled,unlabeled,0.0
0.4,-0.4466398009565924,crossing,10,11,"|0,2>","|6,0>",0.0
0.4,-0.44663961575271144,crossing,4,6,"|4,0>","|3,0>",0.0
0.4,-0.4358680594815603,crossing,3,9,"|0,1>",unlabeled,0.0
0.4,-0.4358578288971771,crossing,3,8,"|0,1>","|5,0>",0.0
0.4,-0.37551298920191983,crossing,10,11,"|0,2>","|6,0>",0.0
0.4,-0.3374876038826887,crossing,5,9,"|1,1>",unlabeled,0.0
0.4,-0.33523275367675603,crossing,5,8,"|1,1>","|5,0>",0.0
0.4,-0.31408078270482154,crossing,3,4,"|0,1>","|4,0>",0.0
0.4,-0.24446164699028408,crossing,3,6,"|0,1>","|3,0>",0.0
