beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
5e-06,-0.499999987742267,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
5e-06,-0.4999999850664179,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
5e-06,-0.40850321716732046,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
5e-06,-0.405,avoided,6,9,"|3,1>","|4,1>",0.00018269854263053276,0.18269854263053276
5e-06,-0.4007910713979058,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
5e-06,-0.3918417031885203,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
5e-06,-0.3772864264011855,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
5e-06,-0.31199918678773675,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
5e-06,-0.3052771997853656,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
5e-06,-0.24858798228475407,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
5e-06,-0.24858798198494386,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
5e-06,-0.19224092264561662,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
5e-06,-0.17551003244795077,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
5e-06,-0.0608409367826048,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
5e-06,0.06084093697712594,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
5e-06,0.1755100323707623,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
5e-06,0.19224092265036827,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
5e-06,0.2485879819754739,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
5e-06,0.24858798233947146,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
5e-06,0.30527719986117263,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
5e-06,0.3119991867300071,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
5e-06,0.37728642637150966,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
5e-06,0.3918417032026123,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
5e-06,0.4007910717677396,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
5e-06,0.405,avoided,6,9,"|3,1>","|4,1>",0.0001827002088248264,0.1827002088248264
5e-06,0.4085032181419272,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
5e-06,0.495,avoided,8,9,"|5,2>","|3,1>",4.409230314195156e-09,4.409230314195156e-06
5e-06,0.49999998408019597,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
5e-06,0.4999999886809484,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4999847605693616,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.4999847388748649,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.40835374529247964,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,-0.405,avoided,6,9,"|3,1>","|4,1>",0.0005484299001636828,0.5484299001636828
0.005,-0.40077786671896276,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,-0.3917949946830403,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.37723377392054086,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.3119102558136637,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.30515647401037804,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,-0.24845539014908924,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.2484551764405606,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.1920503498352837,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.17529827174881574,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,-0.060186734748249884,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.06018673474954911,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.17529827174833337,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,0.19205034983503025,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.24845517643801399,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.24845539014923446,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,0.3051564740098398,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,0.31191025581352694,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.37723377392060514,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.3917949946832265,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.4007778667063657,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,0.405,avoided,6,9,"|3,1>","|4,1>",0.000548429863556521,0.548429863556521
0.005,0.4083537453102774,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,0.49998473887802397,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.49998476056799745,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4999694872319519,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4999694004499758,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.4081374722952797,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.01,-0.405,avoided,6,9,"|3,1>","|4,1>",0.0010561848208112679,1.0561848208112679
0.01,-0.40091054549227145,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
