beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49983902974391153,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4998345237853843,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.4466415116796747,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.44664139827595245,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,-0.41774969180244,crossing,10,11,"|5,0>","|2,1>",0.0
0.1,-0.4058132216972494,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.4045740655583026,crossing,7,11,"|1,2>","|2,1>",0.0
0.1,-0.39165722258975966,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,-0.39,avoided,7,10,"|1,2>","|5,0>",0.006909594535784436
0.1,-0.3770639751947166,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.3770638236072786,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.3256908030426294,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.3115992236700115,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,-0.30840914302700256,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,-0.304800531129299,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.2754570772598638,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.2479407614858634,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24785907647170455,crossing,6,11,"|0,2>","|2,1>",0.0
0.1,-0.2252982075235814,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.1917189119574751,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.17452141023988446,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|1,2>","|3,1>",0.04035345853890249
0.1,-0.10197820945176163,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.05742585682863959,crossing,5,11,"|4,0>","|2,1>",0.0
0.1,0.05742585682848755,crossing,5,11,"|4,0>","|2,1>",0.0
0.1,0.10197820945179605,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|1,2>","|3,1>",0.040353458538049836
0.1,0.17452141023984927,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,0.19171891195730836,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.22529820752355698,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.24785907647137606,crossing,6,11,"|0,2>","|2,1>",0.0
0.1,0.24794076148552582,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.27545707725984125,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3048005311292733,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.3084091430269834,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,0.3115992236699738,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,0.32569080304257053,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3770638236073216,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.37706397519469254,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.39,avoided,7,10,"|1,2>","|5,0>",0.006909594536040231
0.1,0.39165722258970087,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,0.4045740655579505,crossing,7,11,"|1,2>","|2,1>",0.0
0.1,0.4058132216972561,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.41774969180194427,crossing,10,11,"|5,0>","|2,1>",0.0
0.1,0.44664139827586213,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,0.4466415116798051,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.4998345237855596,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.49983902974365907,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49967300780555224,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49965499032856237,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.44664631023884804,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.44664585160214354,crossing,5,8,"|4,0>","|3,0>",0.0
0.2,-0.4174633269033686,crossing,10,11,"|5,0>","|2,1>",0.0
0.2,-0.4124714509859496,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.4058141776015186,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.4,avoided,10,11,"|5,0>","|2,1>",0.009522754909937703
0.2,-0.39161506786433353,crossing,2,5,"|0,1>","|4,0>",0.0
0.2,-0.39,avoided,7,10,"|3,1>","|5,0>",0.0099063935891337
0.2,-0.37702478241610476,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.3770241703324041,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,-0.32568681824161033,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.3114767219432928,crossing,4,5,"|1,1>","|4,0>",0.0
0.2,-0.3083167060342477,crossing,6,10,"|0,2>","|5,0>",0.0
0.2,-0.30470427350129137,crossing,6,7,"|0,2>","|3,1>",0.0
0.2,-0.27545695993529723,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.24761912982724474,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,-0.2473924165878052,crossing,6,11,"|0,2>","|2,1>",0.0
0.2,-0.22529837485155751,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.1921709006945239,crossing,4,8,"|1,1>","|3,0>",0.0
0.2,-0.1742641983662431,crossing,5,6,"|4,0>","|0,2>",0.0
0.2,-0.17156600255737114,crossing,9,10,"|1,2>","|5,0>",0.0
0.2,-0.10152718324355817,crossing,7,9,"|3,1>","|1,2>",0.0
0.2,-0.05625386236325303,crossing,5,11,"|4,0>","|2,1>",0.0
0.2,0.05625386236370676,crossing,5,11,"|4,0>","|2,1>",0.0
0.2,0.10152718324364987,crossing,7,9,"|3,1>","|1,2>",0.0
0.2,0.17156600255735488,crossing,9,10,"|1,2>","|5,0>",0.0
0.2,0.17426419836622456,crossing,5,6,"|4,0>","|0,2>",0.0
0.2,0.19217090069435036,crossing,4,8,"|1,1>","|3,0>",0.0
0.2,0.22529837485155804,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.2473924165874822,crossing,6,11,"|0,2>","|2,1>",0.0
0.2,0.24761912982688652,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,0.2754569599352914,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.3047042735012657,crossing,6,7,"|0,2>","|3,1>",0.0
0.2,0.30831670603422423,crossing,6,10,"|0,2>","|5,0>",0.0
0.2,0.31147672194327825,crossing,4,5,"|1,1>","|4,0>",0.0
0.2,0.3256868182416497,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.3770241703324411,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,0.3770247824160774,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.39,avoided,7,10,"|3,1>","|5,0>",0.009906393588508422
0.2,0.39161506786430433,crossing,2,5,"|0,1>","|4,0>",0.0
0.2,0.4,avoided,10,11,"|5,0>","|2,1>",0.009522754910534559
0.2,0.4058141776015116,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.41247145098580557,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.4174633269028768,crossing,10,11,"|5,0>","|2,1>",0.0
0.2,0.4466458516022206,crossing,5,8,"|4,0>","|3,0>",0.0
0.2,0.44664631023889534,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.49965499032836275,crossing,4,7,unlabeled,unlabeled,0.0
0.2,0.49967300780560103,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49950222378704967,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49946170722037536,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.44665141257495944,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,-0.4466503686458626,crossing,5,8,"|4,0>","|3,0>",0.0
0.30000000000000004,-0.4058149112339398,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,-0.4049943543169058,crossing,7,10,"|3,1>","|2,1>",0.0
0.30000000000000004,-0.3916173278170208,crossing,2,5,"|0,1>","|4,0>",0.0
0.30000000000000004,-0.38,avoided,7,11,"|3,1>","|5,0>",0.013546153788283277
0.30000000000000004,-0.3770307374448708,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,-0.37702929558160614,crossing,2,8,"|0,1>","|3,0>",0.0
0.30000000000000004,-0.3114162101601029,crossing,4,5,"|1,1>","|4,0>",0.0
0.30000000000000004,-0.3082999815017442,crossing,6,11,"|0,2>","|5,0>",0.0
0.30000000000000004,-0.3046814391110031,crossing,6,7,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.24734122149414242,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,-0.24698696797932163,crossing,6,10,"|0,2>","|2,1>",0.0
0.30000000000000004,-0.19269860442742986,crossing,4,8,"|1,1>","|3,0>",0.0
0.30000000000000004,-0.1741678865091494,crossing,5,6,"|4,0>","|0,2>",0.0
0.30000000000000004,-0.17159618294737267,crossing,9,11,"|1,2>","|5,0>",0.0
0.30000000000000004,-0.10138348536914611,crossing,7,9,"|3,1>","|1,2>",0.0
0.30000000000000004,-0.055692418249996316,crossing,5,10,"|4,0>","|2,1>",0.0
0.30000000000000004,0.05569241825009166,crossing,5,10,"|4,0>","|2,1>",0.0
0.30000000000000004,0.10138348536936133,crossing,7,9,"|3,1>","|1,2>",0.0
0.30000000000000004,0.171596182947365,crossing,9,11,"|1,2>","|5,0>",0.0
0.30000000000000004,0.174167886509132,crossing,5,6,"|4,0>","|0,2>",0.0
0.30000000000000004,0.19269860442735873,crossing,4,8,"|1,1>","|3,0>",0.0
0.30000000000000004,0.24698696797915784,crossing,6,10,"|0,2>","|2,1>",0.0
0.30000000000000004,0.2473412214938251,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,0.30468143911094187,crossing,6,7,"|0,2>","|3,1>",0.0
0.30000000000000004,0.30829998150173704,crossing,6,11,"|0,2>","|5,0>",0.0
0.30000000000000004,0.31141621016009163,crossing,4,5,"|1,1>","|4,0>",0.0
0.30000000000000004,0.3770292955816251,crossing,2,8,"|0,1>","|3,0>",0.0
0.30000000000000004,0.377030737444874,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,0.38,avoided,7,11,"|3,1>","|5,0>",0.013546153787729054
0.30000000000000004,0.3916173278169806,crossing,2,5,"|0,1>","|4,0>",0.0
0.30000000000000004,0.4049943543168732,crossing,7,10,"|3,1>","|2,1>",0.0
0.30000000000000004,0.4058149112339403,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,0.4466503686458822,crossing,5,8,"|4,0>","|3,0>",0.0
0.30000000000000004,0.4466514125750412,crossing,6,9,"|0,2>","|1,2>",0.0
0.30000000000000004,0.49946170722020283,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.49950222378719317,crossing,1,3,unlabeled,unlabeled,0.0
0.4,-0.4993268121679694,crossing,1,3,unlabeled,unlabeled,0.0
0.4,-0.4992548221850011,crossing,4,8,unlabeled,unlabeled,0.0
0.4,-0.4466568494032799,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,-0.4466549704832778,crossing,5,7,"|2,1>","|3,0>",0.0
0.4,-0.4181861791396825,crossing,10,11,"|5,0>","|4,0>",0.0
0.4,-0.41304445822738783,crossing,8,11,"|1,2>","|4,0>",0.0
0.4,-0.41000000000000003,avoided,8,10,"|1,2>","|5,0>",0.019265735426472475
0.4,-0.4058154538581201,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,-0.3916530501966008,crossing,2,5,"|0,1>","|2,1>",0.0
0.4,-0.38,avoided,8,10,"|1,2>","|5,0>",0.016545925886063628
0.4,-0.3770710543482196,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,-0.37706830990485235,crossing,2,7,"|0,1>","|3,0>",0.0
0.4,-0.3256698880106082,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,-0.311399216545424,crossing,4,5,"|1,1>","|2,1>",0.0
0.4,-0.3083406895341137,crossing,6,8,"|0,2>","|1,2>",0.0
0.4,-0.30471353359734055,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,-0.27545554696198027,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,-0.24710311758654732,crossing,2,3,"|0,1>","|2,0>",0.0
0.4,-0.2466602263551229,crossing,6,11,"|0,2>","|4,0>",0.0
0.4,-0.2252983067718949,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,-0.1931590974463837,crossing,4,7,"|1,1>","|3,0>",0.0
0.4,-0.1741879077050843,crossing,5,6,"|2,1>","|0,2>",0.0
0.4,-0.16999999999999998,avoided,8,9,"|1,2>","|3,1>",0.04425432282936015
0.4,-0.10146817187441544,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,-0.06,avoided,5,11,"|2,1>","|4,0>",0.019633854468921186
0.4,0.06000000000000005,avoided,5,11,"|2,1>","|4,0>",0.019633854468693812
0.4,0.1014681718744167,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,0.17000000000000004,avoided,8,9,"|1,2>","|3,1>",0.04425432282954489
0.4,0.17418790770504455,crossing,5,6,"|2,1>","|0,2>",0.0
0.4,0.19315909744626875,crossing,4,7,"|1,1>","|3,0>",0.0
0.4,0.22529830677190063,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,0.24666022635495083,crossing,6,11,"|0,2>","|4,0>",0.0
0.4,0.24710311758627687,crossing,2,3,"|0,1>","|2,0>",0.0
0.4,0.2754555469619931,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,0.30471353359732023,crossing,6,10,"|0,2>","|5,0>",0.0
0.4,0.30834068953411314,crossing,6,8,"|0,2>","|1,2>",0.0
0.4,0.3113992165454301,crossing,4,5,"|1,1>","|2,1>",0.0
0.4,0.32566988801058694,crossing,8,10,"|1,2>","|5,0>",0.0
0.4,0.37706830990488077,crossing,2,7,"|0,1>","|3,0>",0.0
0.4,0.37707105434821303,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,0.38,avoided,8,10,"|1,2>","|5,0>",0.01654592588558046
0.4,0.39165305019657004,crossing,2,5,"|0,1>","|2,1>",0.0
0.4,0.4058154538581276,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,0.41000000000000003,avoided,8,10,"|1,2>","|5,0>",0.01926573542574772
0.4,0.41304445822742675,crossing,8,11,"|1,2>","|4,0>",0.0
0.4,0.41818617913972966,crossing,10,11,"|5,0>","|4,0>",0.0
0.4,0.4466549704832428,crossing,5,7,"|2,1>","|3,0>",0.0
0.4,0.4466568494033245,crossing,6,9,"|0,2>","|3,1>",0.0
0.4,0.4992548221850814,crossing,4,8,unlabeled,unlabeled,0.0
0.4,0.49932681216805924,crossing,1,3,unlabeled,unlabeled,0.0
0.5,-0.4991468526049834,crossing,1,3,unlabeled,unlabeled,0.0
0.5,-0.4990342914501869,crossing,5,6,unlabeled,unlabeled,0.0
0.5,-0.4466626452655313,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.44665966668456486,crossing,4,7,"|2,1>","|3,0>",0.0
0.5,-0.41806269153385406,crossing,10,11,"|5,0>","|4,0>",0.0
0.5,-0.4132396745610937,crossing,6,11,"|1,2>","|4,0>",0.0
0.5,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.023568598083684833
0.5,-0.40581580802177303,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.39171819318760026,crossing,2,4,"|0,1>","|2,1>",0.0
0.5,-0.38,avoided,6,10,"|1,2>","|5,0>",0.02005878083782875
0.5,-0.37714075755237153,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,-0.37713926073579457,crossing,2,7,"|0,1>","|3,0>",0.0
0.5,-0.32565734583221473,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.31142114088777156,crossing,4,5,"|2,1>","|1,1>",0.0
0.5,-0.3084326421534272,crossing,6,8,"|1,2>","|0,2>",0.0
0.5,-0.3047944505211007,crossing,8,10,"|0,2>","|5,0>",0.0
0.5,-0.27545428902777247,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.2528147953406878,crossing,8,11,"|0,2>","|4,0>",0.0
0.5,-0.2469060610048865,crossing,2,3,"|0,1>","|2,0>",0.0
0.5,-0.22529810422460325,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.1935432008389985,crossing,5,7,"|1,1>","|3,0>",0.0
0.5,-0.17430898748115292,crossing,4,8,"|2,1>","|0,2>",0.0
0.5,-0.16999999999999998,avoided,6,9,"|1,2>","|3,1>",0.03999569965245087
0.5,-0.1017530937350903,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.06,avoided,4,11,"|2,1>","|4,0>",0.02280595551705744
0.5,0.06000000000000005,avoided,4,11,"|2,1>","|4,0>",0.022805955516417953
0.5,0.10175309373511623,crossing,6,10,"|1,2>","|5,0>",0.0
