beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49959733472718215,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4995860802483875,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.44664829668467687,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.44664800894861856,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,-0.4179384020385487,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,-0.4058149111764166,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.4046199799579369,crossing,7,11,"|1,2>","|4,0>",0.0
0.1,-0.3914209576457334,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.39,avoided,7,10,"|1,2>","|5,0>",0.008976020869411627
0.1,-0.37677846014727034,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.3767781065210239,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.3256893742780726,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.31118846624640356,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.30786725762061645,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,-0.3042264580814544,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.2754574386722482,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.24718904801197544,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24707022055074163,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,-0.225298609518387,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.19155480512059628,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.1734389919268454,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|1,2>","|3,1>",0.06120689544447089
0.1,-0.09986186968227394,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.05414271101380105,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.054142711013805994,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.09986186968230519,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|1,2>","|3,1>",0.06120689544437141
0.1,0.17343899192681142,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.1915548051203721,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.22529860951838496,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.24707022055053757,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,0.24718904801176944,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.275457438672239,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.30422645808142296,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.30786725762059525,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,0.3111884662464102,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.3256893742780846,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3767781065210329,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.3767784601472256,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.39,avoided,7,10,"|1,2>","|5,0>",0.008976020868374235
0.1,0.3914209576457355,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,0.4046199799578797,crossing,7,11,"|1,2>","|4,0>",0.0
0.1,0.4058149111764255,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.4179384020386613,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,0.4466480089486404,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,0.44664829668468115,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.4995860802483149,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.49959733472709955,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4991827710140088,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49913779016317683,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.4466604317217646,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.4466592480876291,crossing,5,8,"|2,1>","|3,0>",0.0
