beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
1.6666666666666669e-06,-0.4999999859587969,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
1.6666666666666669e-06,-0.4999999848031189,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1.6666666666666669e-06,-0.4999994663174806,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
1.6666666666666669e-06,-0.49,avoided,8,9,"|5,2>","|3,1>",6.3046172726899385e-09,6.3046172726899385e-06
1.6666666666666669e-06,-0.4128147510667734,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
1.6666666666666669e-06,-0.4119656254319643,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,-0.39862382512285005,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,-0.39649552319658354,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,-0.3916766679292839,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1.6666666666666669e-06,-0.3770534012746387,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1.6666666666666669e-06,-0.3117707263818079,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1.6666666666666669e-06,-0.30474436750906286,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
1.6666666666666669e-06,-0.24805113846656032,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
1.6666666666666669e-06,-0.24805113831640657,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
1.6666666666666669e-06,-0.19152719903866022,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1.6666666666666669e-06,-0.17480105295929976,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
1.6666666666666669e-06,-0.05875285934526713,crossing,3,6,"|2,1>","|4,0>",0.0,0.0
1.6666666666666669e-06,0.058752859659958814,crossing,3,6,"|2,1>","|4,0>",0.0,0.0
1.6666666666666669e-06,0.17480105305964025,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
1.6666666666666669e-06,0.19152719902844176,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1.6666666666666669e-06,0.24805113808042634,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
1.6666666666666669e-06,0.24805113899437017,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
1.6666666666666669e-06,0.3047443675659276,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
1.6666666666666669e-06,0.3117707263807463,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1.6666666666666669e-06,0.37705340126461473,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1.6666666666666669e-06,0.3916766679284014,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1.6666666666666669e-06,0.3964955222012503,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,0.39862381133061614,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,0.41196562508184803,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
1.6666666666666669e-06,0.41281475108492355,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
1.6666666666666669e-06,0.49999955615474667,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
1.6666666666666669e-06,0.4999999848189472,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1.6666666666666669e-06,0.49999998605995477,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4999542572054624,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.49995419218406106,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.41276739686127994,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
0.005,-0.411944994617812,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.005,-0.398490643282017,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,-0.3963837822459585,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,-0.391594507556964,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.376961860130432,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.3116137834495771,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.3045816705409722,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,-0.24782010325975445,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.24781990246750585,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.19119481287356424,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.17441675869206974,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,-0.057479373523560987,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.05747937352550708,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.17441675869194928,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,0.1911948128736386,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.2478199024669664,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.24782010326004741,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,0.3045816705403443,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,0.3116137834496716,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.3769618601305253,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.39159450755687514,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.3963837822459681,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.005,0.3984906432839228,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,0.41194499461571943,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.005,0.4127673968608586,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
0.005,0.499954192182996,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.4999542572046515,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4999083977815227,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49990813769935044,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.41276193436443215,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
0.01,-0.4119906145326482,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.01,-0.39834287022105797,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,-0.3963384769704033,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.01,-0.39156047125590193,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.37692544373766074,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.31154757605952565,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,-0.3045148500808686,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,-0.2477265679584185,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,-0.24772598072564025,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,-0.19106632661501807,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,-0.17425730912908935,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,-0.05695213266365376,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.01,0.05695213266358371,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.01,0.17425730912894566,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,0.1910663266150909,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,0.2477259807250393,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,0.24772656795816866,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,0.3045148500810453,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,0.3115475760594561,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,0.3769254437377486,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,0.3915604712558048,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,0.3963384769708184,crossing,6,8,"|2,1>","|3,1>",0.0,0.0
0.01,0.3983428702237266,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,0.41199061453069474,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.01,0.4127619343641082,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
0.01,0.4999081376989773,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,0.4999083977812554,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.015000000000000003,-0.4998624419839649,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.015000000000000003,-0.4998618568018089,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.015000000000000003,-0.41276439226928746,crossing,6,8,"|2,1>","|6,1>",0.0,0.0
0.015000000000000003,-0.41205823685164883,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
