beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.2,0.2754569656858681,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.3039633483513421,crossing,6,8,"|0,2>","|5,0>",0.0
0.2,0.3076194260113747,crossing,6,10,"|0,2>","|1,2>",0.0
0.2,0.3108776597149709,crossing,4,5,"|1,1>","|2,1>",0.0
0.2,0.3256764999588049,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.3766881503145236,crossing,2,7,"|0,1>","|3,0>",0.0
0.2,0.3766898737187317,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.38,avoided,8,10,"|5,0>","|1,2>",0.01527425599523724
0.2,0.391332344580563,crossing,2,5,"|0,1>","|2,1>",0.0
0.2,0.4,avoided,10,11,"|1,2>","|4,0>",0.014131657903419637
0.2,0.4058180845903759,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.41396125359331165,crossing,8,10,"|5,0>","|1,2>",0.0
0.2,0.41631546083377774,crossing,10,11,"|1,2>","|4,0>",0.0
0.2,0.44666377181007694,crossing,5,7,"|2,1>","|3,0>",0.0
0.2,0.4466652076519165,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,0.4989656124159741,crossing,4,8,unlabeled,unlabeled,0.0
0.2,0.49901956873785336,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4985099578796889,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4983887621158857,crossing,5,6,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49689393834314693,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49616388442759374,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4897674073061259,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4896635630715009,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.44668118961614717,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,-0.44667784166009006,crossing,4,7,"|2,1>","|3,0>",0.0
0.30000000000000004,-0.41627802735289726,crossing,10,11,"|5,0>","|4,0>",0.0
0.30000000000000004,-0.4141562354656368,crossing,6,10,"|0,2>","|5,0>",0.0
0.30000000000000004,-0.40582022727304135,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,-0.39140234599308793,crossing,2,4,"|0,1>","|2,1>",0.0
0.30000000000000004,-0.38,avoided,6,10,"|0,2>","|5,0>",0.02165148852949983
0.30000000000000004,-0.37676780171986957,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,-0.376763549826009,crossing,2,7,"|0,1>","|3,0>",0.0
0.30000000000000004,-0.3356852057128381,crossing,6,10,"|0,2>","|5,0>",0.0
0.30000000000000004,-0.3107932381677658,crossing,4,5,"|2,1>","|1,1>",0.0
0.30000000000000004,-0.30766993260136516,crossing,8,10,"|3,1>","|5,0>",0.0
0.30000000000000004,-0.30399829513568105,crossing,6,8,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.286291222840806,crossing,6,8,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.2528907056329164,crossing,6,11,"|0,2>","|4,0>",0.0
0.30000000000000004,-0.24634587571971756,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,-0.22529896537086389,crossing,8,10,"|3,1>","|5,0>",0.0
0.30000000000000004,-0.1932914731936532,crossing,5,7,"|1,1>","|3,0>",0.0
0.30000000000000004,-0.17274057200851567,crossing,4,6,"|2,1>","|0,2>",0.0
0.30000000000000004,-0.17212002373556057,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,-0.09855644557858613,crossing,9,10,"|1,2>","|5,0>",0.0
0.30000000000000004,-0.04999999999999999,avoided,4,11,"|2,1>","|4,0>",0.018929512796390213
0.30000000000000004,0.050000000000000044,avoided,4,11,"|2,1>","|4,0>",0.018929512796290737
0.30000000000000004,0.09855644557863588,crossing,9,10,"|1,2>","|5,0>",0.0
0.30000000000000004,0.17212002373554358,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,0.1727405720085218,crossing,4,6,"|2,1>","|0,2>",0.0
0.30000000000000004,0.19329147319362439,crossing,5,7,"|1,1>","|3,0>",0.0
0.30000000000000004,0.22529896537086375,crossing,8,10,"|3,1>","|5,0>",0.0
0.30000000000000004,0.24634587571963548,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,0.25289070563296656,crossing,6,11,"|0,2>","|4,0>",0.0
0.30000000000000004,0.2862912228408101,crossing,6,8,"|0,2>","|3,1>",0.0
0.30000000000000004,0.30399829513565696,crossing,6,8,"|0,2>","|3,1>",0.0
0.30000000000000004,0.3076699326013546,crossing,8,10,"|3,1>","|5,0>",0.0
0.30000000000000004,0.3107932381677583,crossing,4,5,"|2,1>","|1,1>",0.0
0.30000000000000004,0.33568520571284177,crossing,6,10,"|0,2>","|5,0>",0.0
0.30000000000000004,0.37676354982602744,crossing,2,7,"|0,1>","|3,0>",0.0
0.30000000000000004,0.37676780171985447,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,0.38,avoided,6,10,"|0,2>","|5,0>",0.02165148852866139
0.30000000000000004,0.391402345993076,crossing,2,4,"|0,1>","|2,1>",0.0
0.30000000000000004,0.4058202272730322,crossing,8,9,"|3,1>","|1,2>",0.0
