beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.9754030880159377,-0.00028738242091463917,0.00028738242091463917,0.0,0.970792763451378,0.9661824388868183,6.938679383883823,7.909184764914286,13.877358751839601,0.0,0.970792763451378,6.938291042116731,0.9661824388868183,7.909184764914286,3.8739204580396915,10.81247194509288,3.873923055000887,7.904445965692801,10.812469326610966,8.716134310275805,8.71613431090337,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9654172584310174,-0.00028797223309595665,0.00028797223309595665,0.0,1.018052561129707,1.0706878638283968,6.938679383883823,7.956443972780434,13.877358751839601,0.0,1.018052561129707,6.9382947101212835,1.0706878638283968,7.956443972780434,3.9351664899834873,10.87372745406455,3.9351812439078913,8.008948019492323,10.873713659925201,8.775104004337877,8.775104097031445,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9363615655872621,-0.00028937347328650276,0.00028937347328650276,0.0,1.1347814836553383,1.3332014017234144,6.938679383883823,8.073171494065875,13.877358751839601,0.0,1.1347814836553383,6.93830374403187,1.3332014017234144,8.073171494065875,4.09329028248537,11.032489248356612,4.093951238310666,8.27145239971685,11.03183250265674,8.926666401143834,8.926668573745545,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8908289252632713,-0.0002906772271984437,0.0002906772271984437,0.0,1.2826905930903436,1.674552260917416,6.938679383883823,8.221079299746968,13.877358751839601,0.0,1.2826905930903436,6.938315654333017,1.674552260917416,8.221079299746968,4.308392802919407,11.25061354789269,4.312089694368375,8.61278694455185,11.246927225006324,9.131683844816173,9.131697450412908,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.832778963118912,-0.0002908620105301907,0.0002908620105301907,0.0,1.4397845501843847,2.0467901372498574,6.938679383883823,8.378173072057677,13.877358751839601,0.0,1.4397845501843847,6.93832940468117,2.0467901372498574,8.378173072057677,4.556040363137711,11.506347305679824,4.567844135986192,8.984992320513456,11.494564707749234,9.366866386133253,9.36692050374991,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7670343320964363,-0.0002891559839213187,0.0002891559839213187,0.0,1.5962396279772477,2.425444923858059,6.938679383883823,8.53462985587715,13.877358751839601,0.0,1.5962396279772477,6.938344695781403,2.425444923858059,8.53462985587715,4.823432976673907,11.790130478846642,4.851654985755751,9.363571969766333,11.761945590588859,9.620790937322802,9.620962870109345,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|5,0>","|4,0>"
0.1,-0.44,-0.6986457173437017,-0.00028517547332285176,0.00028517547332285176,0.0,1.7478950266989912,2.7971443360542807,6.938679383883823,8.686289235109491,13.877358751839601,0.0,1.7478950266989912,6.93836157337747,2.7971443360542807,8.686289235109491,5.159440007429346,12.041687450622142,5.103187629159727,9.735071912367381,12.097880749812155,9.887533200566871,9.888022667951837,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|5,0>","|4,0>"
0.1,-0.43,-0.6322074251166114,-0.0002788769935122559,0.0002788769935122559,0.0,1.8931109789468934,3.1540145327771754,6.938679383883823,8.831511485837204,13.877358751839601,0.0,1.8931109789468934,6.938380452512625,3.1540145327771754,8.831511485837204,5.489121695819627,12.328925862533062,5.390439395785897,10.091286919397028,12.42752103320047,10.163641237801748,10.165047631297035,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|5,0>","|4,0>"
0.1,-0.42,-0.5712633803028098,-0.0002704333424148331,0.0002704333424148331,0.0,2.0314043947355955,3.4915454091683813,6.938679383883823,8.969813345277004,13.877358751839601,0.0,2.0314043947355955,6.938402568486609,3.4915454091683813,8.969813345277004,5.838916996510932,12.620122655248807,5.6816497207125565,10.425479242877643,12.777268717335133,10.446851542120484,10.452106452318986,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|5,0>","|4,0>"
0.1,-0.41000000000000003,-0.5179713265373636,-0.00026011526115610195,0.00026011526115610195,0.0,2.162829898672328,3.8076884708072924,6.938679383883823,9.101249167294995,13.877358751839601,0.0,2.162829898672328,6.93843201143369,3.8076884708072924,9.101249167294995,6.2065276789371495,12.912550979026975,5.97409148253675,10.753516354126262,13.144823646084063,10.7355171657683,10.729784907389757,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|5,0>","|4,0>"
