beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49946842131776037,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4994535518022434,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.44665192644532786,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.4466515428158757,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,-0.4177032987018201,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,-0.41217877203422926,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,-0.4058157471705939,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.4,avoided,10,11,"|5,0>","|4,0>",0.009008765390177587
0.1,-0.3915459263758055,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.39,avoided,7,10,"|3,1>","|5,0>",0.009137451495561777
0.1,-0.37697823818701615,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.3769777321398963,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.3256886375330421,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,-0.31132202537687903,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.30820935298937063,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.30460710298314875,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,-0.27545759657252844,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,-0.24754008297963287,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24735457543911674,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,-0.2252987875692586,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,-0.1919305936151677,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.17395018182402738,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.17172867618737778,crossing,9,10,"|1,2>","|5,0>",0.0
0.1,-0.10097008151194668,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,-0.055392881124738266,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.055392881124864714,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.1009700815120085,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,0.17172867618738824,crossing,9,10,"|1,2>","|5,0>",0.0
0.1,0.17395018182399444,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.19193059361509437,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.2252987875692613,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,0.2473545754389599,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,0.2475400829794187,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.27545759657251906,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,0.3046071029831343,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,0.308209352989336,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.3113220253768543,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.32568863753301697,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,0.37697773213990765,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.3769782381870103,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.39,avoided,7,10,"|3,1>","|5,0>",0.009137451495348614
0.1,0.3915459263757591,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,0.4,avoided,10,11,"|5,0>","|4,0>",0.009008765390419171
0.1,0.4058157471706067,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.4121787720341192,crossing,7,10,"|3,1>","|5,0>",0.0
0.1,0.4177032987017992,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,0.44665154281581815,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,0.44665192644536583,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.4994535518021869,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.4994684213177631,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4989216574440346,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49886224248738853,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.49,avoided,5,8,unlabeled,unlabeled,3.4510352691086155e-06
0.2,-0.49,avoided,6,9,unlabeled,unlabeled,9.269012792856302e-07
0.2,-0.4466680962949686,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.4466665034677145,crossing,5,8,"|2,1>","|3,0>",0.0
0.2,-0.40581859060542796,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.40499553533808325,crossing,7,10,"|3,1>","|4,0>",0.0
0.2,-0.39151263521244983,crossing,2,5,"|0,1>","|2,1>",0.0
0.2,-0.38,avoided,7,11,"|3,1>","|5,0>",0.01524564387578664
0.2,-0.3769651678821366,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.37696307498491566,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,-0.3111080188066262,crossing,4,5,"|1,1>","|2,1>",0.0
0.2,-0.3080996487511169,crossing,6,11,"|0,2>","|5,0>",0.0
0.2,-0.3044892146634751,crossing,6,7,"|0,2>","|3,1>",0.0
