beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
0.015,-0.19178913974290773,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.015,-0.17497586109563737,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.015,-0.058978279584573606,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.015,0.058978279585740985,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.015,0.17497586109556637,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.015,0.1917891397429589,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.015,0.24827422126402365,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.015,0.248279098949894,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.015,0.30500793842327883,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.015,0.31175781472619846,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.015,0.37717140352608025,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.015,0.3917262356165352,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.015,0.4043791043450542,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.015,0.405,avoided,6,9,"|3,1>","|4,1>",0.003156668813858232,3.156668813858232
0.015,0.49984802875172124,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.015,0.4998486732112929,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.015,0.4999673887724202,crossing,8,9,"|3,1>","|5,2>",0.0,0.0
0.02,-0.49979801729064754,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.02,-0.49979687157514907,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.02,-0.405,avoided,6,8,"|2,1>","|3,1>",0.00015932200628299142,0.15932200628299142
0.02,-0.3917042948652561,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.02,-0.37714915367951296,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.02,-0.3117137903199796,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.02,-0.3049631108612373,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.02,-0.24821792034121729,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.02,-0.24821009791258006,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.02,-0.1917112627859548,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.02,-0.17487223823783493,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.02,-0.05862423733443919,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.02,0.05862423733430401,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.02,0.17487223823759623,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.02,0.19171126278598755,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.02,0.24821009791223597,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.02,0.24821792034108342,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.02,0.304963110861147,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.02,0.31171379031993945,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.02,0.3771491536795389,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.02,0.3917042948652918,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.02,0.405,avoided,6,8,"|2,1>","|3,1>",0.00015932200545876185,0.15932200545876185
0.02,0.49979687157460573,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.02,0.4997980172900711,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.025,-0.49974727057287055,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.025,-0.4997454804161849,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.025,-0.405,avoided,6,8,"|2,1>","|3,1>",0.0005967713553047815,0.5967713553047815
0.025,-0.39168505523527997,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.025,-0.37712989163883975,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.025,-0.311674890086479,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.025,-0.3049257425857004,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.025,-0.2481638923540992,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.025,-0.24815281563354236,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.025,-0.1916492303728032,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.025,-0.17478109408244247,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.025,-0.058315862123125,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.025,0.05831586212365555,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.025,0.1747810940822956,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.025,0.191649230372703,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.025,0.24815281563333633,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.025,0.24816389235380498,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.025,0.30492574258562793,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.025,0.3116748900864635,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.025,0.3771298916388482,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.025,0.391685055235236,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.025,0.405,avoided,6,8,"|2,1>","|3,1>",0.0005967713544237085,0.5967713544237085
0.025,0.49974548041618927,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.025,0.4997472705728657,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.03,-0.49969643381792517,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.03,-0.4996938560024097,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.03,-0.405,avoided,6,8,"|2,1>","|3,1>",0.0010389735464286787,1.0389735464286787
0.03,-0.39166779673992574,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.03,-0.37711281689759757,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.03,-0.311639697073847,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.03,-0.3048920763397383,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.03,-0.24811511103019263,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.03,-0.24810062273811537,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.03,-0.19160042209816808,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.03,-0.17469901594344367,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.03,-0.05804345168646419,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.03,0.05804345168655069,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.03,0.1746990159433055,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.03,0.1916004220980906,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.03,0.24810062273778352,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.03,0.24811511102997408,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.03,0.3048920763398642,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.03,0.31163969707386374,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.03,0.3771128168976274,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.03,0.39166779673993,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.03,0.405,avoided,6,8,"|2,1>","|3,1>",0.0010389735467413175,1.0389735467413175
0.03,0.4996938560032951,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.03,0.49969643381795614,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.03,0.4999894638258019,crossing,8,9,"|3,1>","|5,2>",0.0,0.0
0.034999999999999996,-0.49999394526519736,crossing,8,9,"|5,2>","|3,1>",0.0,0.0
0.034999999999999996,-0.4996455111262511,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.034999999999999996,-0.4996420024654255,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.034999999999999996,-0.405,avoided,6,9,"|2,1>","|3,1>",0.0014920817413042187,1.4920817413042187
0.034999999999999996,-0.4,avoided,8,9,"|4,1>","|3,1>",0.005201890116836694,5.201890116836694
0.034999999999999996,-0.3916524230378071,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.034999999999999996,-0.37709792092224054,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.034999999999999996,-0.31160782765542333,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.034999999999999996,-0.3048622313086527,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.034999999999999996,-0.2480715150851034,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.034999999999999996,-0.2480535515677445,crossing,6,8,"|0,2>","|2,1>",0.0,0.0
0.034999999999999996,-0.19156442627882564,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.034999999999999996,-0.17462543011111,crossing,4,8,"|0,2>","|4,0>",0.0,0.0
0.034999999999999996,-0.05780547752850684,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.034999999999999996,0.057805477528096165,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.034999999999999996,0.17462543011096993,crossing,4,8,"|0,2>","|4,0>",0.0,0.0
0.034999999999999996,0.19156442627884707,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.034999999999999996,0.24805355156754016,crossing,6,8,"|0,2>","|2,1>",0.0,0.0
0.034999999999999996,0.24807151508506253,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.034999999999999996,0.3048622313087058,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.034999999999999996,0.31160782765542133,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.034999999999999996,0.3770979209223229,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.034999999999999996,0.3916524230378084,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.034999999999999996,0.4,avoided,8,9,"|4,1>","|3,1>",0.005201890116637742,5.201890116637742
0.034999999999999996,0.405,avoided,6,9,"|2,1>","|3,1>",0.001492081740593676,1.492081740593676
0.034999999999999996,0.49964200246628565,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.034999999999999996,0.49964551112633426,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.034999999999999996,0.49998939393939396,crossing,8,9,"|5,2>","|3,1>",0.0,0.0
0.04,-0.49959450357723806,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.04,-0.4995899208761441,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.04,-0.405,avoided,6,8,"|2,1>","|3,1>",0.001955576930200209,1.955576930200209
0.04,-0.395,avoided,8,9,"|3,1>","|4,1>",0.00552679350940366,5.52679350940366
0.04,-0.39163868829336007,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.04,-0.3770849399219716,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.04,-0.3115787774736531,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.04,-0.3048357740526046,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.04,-0.24803247973031894,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.04,-0.24801105350111308,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.04,-0.19153990491255224,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.04,-0.17455915689723953,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.04,-0.05759888255931012,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.04,0.05759888255917957,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.04,0.17455915689713392,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
