beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.2,0.4058200256474422,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.41000000000000003,avoided,10,11,"|5,0>","|4,0>",0.013586795603551138
0.2,0.42138857489203657,crossing,8,10,"|3,1>","|5,0>",0.0
0.2,0.42885597410128645,crossing,10,11,"|5,0>","|4,0>",0.0
0.2,0.44667292307524586,crossing,4,7,"|2,1>","|3,0>",0.0
0.2,0.44667487761200286,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.48984667812630306,crossing,6,9,unlabeled,unlabeled,0.0
0.2,0.48990205422422844,crossing,4,7,unlabeled,unlabeled,0.0
0.2,0.49568389423573145,crossing,6,9,unlabeled,unlabeled,0.0
0.2,0.4986217669111004,crossing,5,8,unlabeled,unlabeled,0.0
0.2,0.49869359890817266,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49801620183991013,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49785494521756607,crossing,5,6,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49722794970073886,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49684536597485485,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4893567411397555,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4891769268366375,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.446696700575862,crossing,8,9,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.44669208586067133,crossing,4,7,"|2,1>","|3,0>",0.0
0.30000000000000004,-0.41758074864148115,crossing,10,11,"|1,2>","|4,0>",0.0
0.30000000000000004,-0.4130201979969658,crossing,6,11,"|5,0>","|4,0>",0.0
0.30000000000000004,-0.41000000000000003,avoided,6,10,"|5,0>","|1,2>",0.03514319999709414
0.30000000000000004,-0.4058229558569905,crossing,8,9,"|0,2>","|3,1>",0.0
