beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49994240739690315,crossing,1,2,unlabeled,unlabeled,0.0
0.1,-0.49994129541930443,crossing,5,7,unlabeled,unlabeled,0.0
0.1,-0.4466385709376931,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.446638543239437,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,-0.4358167204370906,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,-0.43580640022296147,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,-0.33744133161799944,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,-0.3351790960213654,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,-0.3140560263087938,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,-0.2444026553555249,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,-0.24440086998178748,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.17627608723852245,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,-0.1651703087884183,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,-0.08859292324353633,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.08859292324315214,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.16517030878836864,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,0.17627608723843782,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,0.24440086998186245,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.24440265535537012,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,0.3140560263087823,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,0.3351790960213244,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,0.3374413316180873,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,0.4358064002229106,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,0.43581672043705205,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,0.4466385432394495,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,0.44663857093790377,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.49994129541963944,crossing,5,7,unlabeled,unlabeled,0.0
0.1,0.4999424073966763,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.4999811689899731,crossing,8,9,unlabeled,unlabeled,0.0
0.2,-0.49988358956959505,crossing,1,2,unlabeled,unlabeled,0.0
0.2,-0.4998791404023573,crossing,5,7,unlabeled,unlabeled,0.0
0.2,-0.44664026434727083,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.4466401531314105,crossing,4,6,"|4,0>","|3,0>",0.0
0.2,-0.4358244229110493,crossing,3,9,"|0,1>",unlabeled,0.0
0.2,-0.435814174468068,crossing,3,8,"|0,1>","|5,0>",0.0
0.2,-0.3374043001751306,crossing,5,9,"|1,1>",unlabeled,0.0
0.2,-0.33514555657994216,crossing,5,8,"|1,1>","|5,0>",0.0
0.2,-0.31400033712585007,crossing,3,4,"|0,1>","|4,0>",0.0
0.2,-0.24432948384804265,crossing,3,6,"|0,1>","|3,0>",0.0
0.2,-0.24432233968546577,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,-0.17612267438655985,crossing,7,9,"|2,1>",unlabeled,0.0
0.2,-0.16501852128921538,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,-0.08830432392842498,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.08830432392833784,crossing,7,8,"|2,1>","|5,0>",0.0
0.2,0.16501852128926758,crossing,4,5,"|4,0>","|1,1>",0.0
0.2,0.17612267438657384,crossing,7,9,"|2,1>",unlabeled,0.0
0.2,0.24432233968542402,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,0.24432948384801062,crossing,3,6,"|0,1>","|3,0>",0.0
0.2,0.31400033712583664,crossing,3,4,"|0,1>","|4,0>",0.0
0.2,0.3351455565799644,crossing,5,8,"|1,1>","|5,0>",0.0
0.2,0.3374043001751994,crossing,5,9,"|1,1>",unlabeled,0.0
0.2,0.43581417446803933,crossing,3,8,"|0,1>","|5,0>",0.0
0.2,0.4358244229110252,crossing,3,9,"|0,1>",unlabeled,0.0
0.2,0.4466401531314679,crossing,4,6,"|4,0>","|3,0>",0.0
0.2,0.4466402643472397,crossing,10,11,"|0,2>","|6,0>",0.0
0.2,0.4998791404022303,crossing,5,7,unlabeled,unlabeled,0.0
0.2,0.49988358956988643,crossing,1,2,unlabeled,unlabeled,0.0
0.2,0.49998775949862906,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4999377171999819,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49982360563365236,crossing,1,2,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4998135933268847,crossing,5,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.44664200790668723,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,-0.4466417567125767,crossing,4,6,"|4,0>","|3,0>",0.0
0.30000000000000004,-0.4358606715321813,crossing,3,9,"|0,1>",unlabeled,0.0
0.30000000000000004,-0.43585052019927034,crossing,3,8,"|0,1>","|5,0>",0.0
0.30000000000000004,-0.3374152364815175,crossing,5,9,"|1,1>",unlabeled,0.0
0.30000000000000004,-0.33516298115918963,crossing,5,8,"|1,1>","|5,0>",0.0
0.30000000000000004,-0.3139893145518382,crossing,3,4,"|0,1>","|4,0>",0.0
0.30000000000000004,-0.2443321491174324,crossing,3,6,"|0,1>","|3,0>",0.0
0.30000000000000004,-0.24431609672648108,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,-0.17607504801387272,crossing,7,9,"|2,1>",unlabeled,0.0
0.30000000000000004,-0.16498604067375144,crossing,4,5,"|4,0>","|1,1>",0.0
0.30000000000000004,-0.0882840811940038,crossing,7,8,"|2,1>","|5,0>",0.0
0.30000000000000004,0.08828408119359152,crossing,7,8,"|2,1>","|5,0>",0.0
0.30000000000000004,0.16498604067358524,crossing,4,5,"|4,0>","|1,1>",0.0
0.30000000000000004,0.17607504801388263,crossing,7,9,"|2,1>",unlabeled,0.0
0.30000000000000004,0.2443160967263711,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,0.24433214911736423,crossing,3,6,"|0,1>","|3,0>",0.0
0.30000000000000004,0.3139893145518713,crossing,3,4,"|0,1>","|4,0>",0.0
0.30000000000000004,0.33516298115915116,crossing,5,8,"|1,1>","|5,0>",0.0
0.30000000000000004,0.337415236481558,crossing,5,9,"|1,1>",unlabeled,0.0
0.30000000000000004,0.4358505201993358,crossing,3,8,"|0,1>","|5,0>",0.0
0.30000000000000004,0.43586067153223523,crossing,3,9,"|0,1>",unlabeled,0.0
0.30000000000000004,0.44664175671241885,crossing,4,6,"|4,0>","|3,0>",0.0
0.30000000000000004,0.4466420079065118,crossing,10,11,"|0,2>","|6,0>",0.0
0.30000000000000004,0.49981359332708614,crossing,5,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.499823605633768,crossing,1,2,unlabeled,unlabeled,0.0
0.30000000000000004,0.49993750282026983,crossing,8,9,unlabeled,unlabeled,0.0
0.4,-0.4997624815486946,crossing,1,2,unlabeled,unlabeled,0.0
0.4,-0.49974467519316607,crossing,5,7,unlabeled,unlabeled,0.0
0.4,-0.4922665369649805,crossing,8,9,unlabeled,unlabeled,0.0
0.4,-0.44664381399210434,crossing,10,11,"|0,2>","|6,0>",0.0
0.4,-0.44664336555898304,crossing,4,6,"|4,0>","|3,0>",0.0
0.4,-0.43592193719916383,crossing,3,9,"|0,1>",unlabeled,0.0
0.4,-0.43591191616943664,crossing,3,8,"|0,1>","|5,0>",0.0
0.4,-0.33746418704180414,crossing,5,9,"|1,1>",unlabeled,0.0
0.4,-0.33522087541995216,crossing,5,8,"|1,1>","|5,0>",0.0
0.4,-0.3140114129310843,crossing,3,4,"|0,1>","|4,0>",0.0
0.4,-0.24439262865230094,crossing,3,6,"|0,1>","|3,0>",0.0
0.4,-0.24436350301909424,crossing,10,11,"|0,2>","|6,0>",0.0
0.4,-0.17610333331298886,crossing,7,9,"|2,1>",unlabeled,0.0
0.4,-0.1650422098981901,crossing,4,5,"|4,0>","|1,1>",0.0
0.4,-0.08846860965815356,crossing,7,8,"|2,1>","|5,0>",0.0
0.4,0.08846860965787504,crossing,7,8,"|2,1>","|5,0>",0.0
0.4,0.16504220989809767,crossing,4,5,"|4,0>","|1,1>",0.0
0.4,0.17610333331300945,crossing,7,9,"|2,1>",unlabeled,0.0
0.4,0.24436350301911783,crossing,10,11,"|0,2>","|6,0>",0.0
