beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.2,0.27545699021604075,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.30442757870282194,crossing,6,7,"|0,2>","|3,1>",0.0
0.2,0.30805725815418783,crossing,6,10,"|0,2>","|5,0>",0.0
0.2,0.31127147054366944,crossing,4,5,"|1,1>","|2,1>",0.0
0.2,0.325684283647657,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.3768919245410839,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,0.37689281667075625,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.39,avoided,7,10,"|3,1>","|5,0>",0.012067928096243463
0.2,0.3915068745259315,crossing,2,5,"|0,1>","|2,1>",0.0
0.2,0.4,avoided,10,11,"|5,0>","|4,0>",0.010512235196870279
0.2,0.4058151865127876,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.4130907308853348,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,0.41697300657338304,crossing,10,11,"|5,0>","|4,0>",0.0
0.2,0.4466502931374362,crossing,5,8,"|2,1>","|3,0>",0.0
0.2,0.4466509882393392,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,0.4994824999735581,crossing,4,7,unlabeled,unlabeled,0.0
0.2,0.49950950996167337,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.49925364509037246,crossing,1,3,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4991929241858472,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,-0.4466587148684481,crossing,6,9,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.4466571233382065,crossing,5,8,"|2,1>","|3,0>",0.0
0.30000000000000004,-0.41678142051987704,crossing,10,11,"|1,2>","|4,0>",0.0
0.30000000000000004,-0.4135290674394328,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,-0.405816269324107,crossing,6,9,"|0,2>","|3,1>",0.0
0.30000000000000004,-0.39152397738551886,crossing,2,5,"|0,1>","|2,1>",0.0
0.30000000000000004,-0.38,avoided,7,10,"|5,0>","|1,2>",0.015675320437949836
0.30000000000000004,-0.37691500951380214,crossing,6,9,"|0,2>","|3,1>",0.0
