beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
3.3333333333333337e-06,-0.49999998573934135,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
3.3333333333333337e-06,-0.49999998492378595,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
3.3333333333333337e-06,-0.41081118368790787,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
3.3333333333333337e-06,-0.40948197165079947,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
3.3333333333333337e-06,-0.4016984151049574,crossing,6,9,"|3,1>","|4,1>",0.0,0.0
3.3333333333333337e-06,-0.39875827550311277,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
3.3333333333333337e-06,-0.39177598014048853,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
3.3333333333333337e-06,-0.3771936272794346,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
3.3333333333333337e-06,-0.31190820545798487,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
3.3333333333333337e-06,-0.3050311232679178,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
3.3333333333333337e-06,-0.24837419243865042,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
3.3333333333333337e-06,-0.24837419103454547,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
3.3333333333333337e-06,-0.1919566919676507,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
3.3333333333333337e-06,-0.17523025719348864,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
3.3333333333333337e-06,-0.060049936109075955,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
3.3333333333333337e-06,0.06004993428418512,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
3.3333333333333337e-06,0.17523025725447539,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
3.3333333333333337e-06,0.19195669197426418,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
3.3333333333333337e-06,0.24837419128604551,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
3.3333333333333337e-06,0.24837419170917538,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
3.3333333333333337e-06,0.3050311232686182,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
3.3333333333333337e-06,0.3119082055266192,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
3.3333333333333337e-06,0.37719362727932365,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
