beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.97471412730944,-0.0002588625203472361,0.0002588625203472361,0.0,0.9705646895931892,0.9664152518769384,6.941394198561177,7.911700025634019,13.882788384082495,0.0,0.9705646895931892,6.941044546775714,0.9664152518769384,7.911700025634019,3.8739334994425576,10.815211668002036,7.907434981105041,3.8739356033354966,10.81520954647479,8.71618295843885,8.716182958895018,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9647300781816881,-0.00025939645686179347,0.00025939645686179347,0.0,1.0178263226405448,1.0709225670994016,6.941394198561177,7.95896112474486,13.882788384082495,0.0,1.0178263226405448,6.9410478430772145,1.0709225670994016,7.95896112474486,3.9351841853932115,10.87647605891624,8.011939261127594,3.9352024045329728,10.876458706679244,8.775157634827707,8.775157722530466,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9356801245365887,-0.0002606654094350347,0.0002606654094350347,0.0,1.1345635370214353,1.333446949506282,6.941394198561177,8.075697070173177,13.882788384082495,0.0,1.1345635370214353,6.941055963594678,1.333446949506282,8.075697070173177,4.0933245437468315,11.035267409329876,8.274455385333965,4.094001129817258,11.03459461903779,8.926737709663612,8.926739715530701,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8901582629689386,-0.0002618480234204412,0.0002618480234204412,0.0,1.2824879662955766,1.6748176696222146,6.941394198561177,8.223620316833333,13.882788384082495,0.0,1.2824879662955766,6.941066672383201,1.6748176696222146,8.223620316833333,4.30845560393216,11.25344282095051,8.615811349828732,4.3121892727210565,11.249718674798274,9.131785929952812,9.131798566462805,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8321255480173875,-0.00026202192261592927,0.00026202192261592927,0.0,1.439601736643283,2.0470779252691784,6.941394198561177,8.380733913281844,13.882788384082495,0.0,1.439601736643283,6.941079037306054,2.0470779252691784,8.380733913281844,4.556140400722512,11.5092469991975,8.988042094963745,4.568012051088601,11.49739441974397,9.367009525067417,9.36706020619934,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7664058787765384,-0.00026049102273617564,0.00026049102273617564,0.0,1.5960789696372473,2.425752060497956,6.941394198561177,8.537212677175688,13.882788384082495,0.0,1.5960789696372473,6.941092788102651,2.425752060497956,8.537212677175688,4.8235759390674815,11.793117634885107,9.366647632075598,4.851907572602087,11.764819421272563,9.620982861607459,9.62114498933903,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,1>","|3,0>","|1,2>","|5,0>","|4,0>"
0.1,-0.44,-0.6980503802696774,-0.0002569101643032923,0.0002569101643032923,0.0,1.747757607940997,2.797464835612317,6.941394198561177,8.688894896337871,13.882788384082495,0.0,1.747757607940997,6.941107964303015,2.797464835612317,8.688894896337871,5.159791328577057,12.04460907527752,9.73817644298154,5.10337708357055,12.100970148882922,9.887779911020047,9.888243918965259,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,1>","|3,0>","|1,2>","|5,0>","|4,0>"
0.1,-0.43,-0.6316525093751153,-0.0002512412148902854,0.0002512412148902854,0.0,1.892997207983484,3.1543419065918528,6.941394198561177,8.83414016532977,13.882788384082495,0.0,1.892997207983484,6.94112493623787,3.1543419065918528,8.83414016532977,5.489582917993118,12.331897437685996,10.094433131131822,5.390677441440758,12.430724521811442,10.163947542027415,10.165293402687297,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,1>","|3,0>","|1,2>","|5,0>","|4,0>"
0.1,-0.42,-0.5707540108321325,-0.000243640874707296,0.000243640874707296,0.0,2.0313143222324186,3.4918746336327047,6.941394198561177,8.972464879918888,13.882788384082495,0.0,2.0313143222324186,6.941144807438178,3.4918746336327047,8.972464879918888,5.839495578576589,12.623145264501247,10.428475881506785,5.681937422992448,12.780594397397707,10.44722135954838,10.45256713963505,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,1>","|3,0>","|1,2>","|5,0>","|4,0>"
0.1,-0.41000000000000003,-0.517509641573966,-0.00023435382252756654,0.00023435382252756654,0.0,2.162763385788608,3.8080171300032504,6.941394198561177,9.103923230527258,13.882788384082495,0.0,2.162763385788608,6.94117122787469,3.8080171300032504,9.103923230527258,6.2072271803069725,12.91562494408754,10.755318283998264,5.974429172457221,13.148275941061954,10.735953702290232,10.731507158386563,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,1>","|3,0>","|1,2>","|5,0>","|4,0>"
