beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
1e-05,-0.49999998546139635,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
1e-05,-0.4999999848701483,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1e-05,-0.49999949516859704,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
1e-05,-0.405596806387493,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
1e-05,-0.405,avoided,6,9,"|3,1>","|4,1>",0.002155450394639047,2.155450394639047
1e-05,-0.3918912466728417,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1e-05,-0.3773563802504982,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1e-05,-0.31206777032872596,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1e-05,-0.305447165750023,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
1e-05,-0.2487491422884765,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
1e-05,-0.24874914204258539,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
1e-05,-0.1924551818676223,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1e-05,-0.1757209329990344,crossing,3,9,"|4,0>","|0,2>",0.0,0.0
1e-05,-0.061437210763238555,crossing,3,6,"|4,0>","|2,1>",0.0,0.0
1e-05,0.06143721068360698,crossing,3,6,"|4,0>","|2,1>",0.0,0.0
1e-05,0.17572093300344196,crossing,3,9,"|4,0>","|0,2>",0.0,0.0
1e-05,0.1924551818750092,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1e-05,0.24874914203445161,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
1e-05,0.24874914225471134,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
1e-05,0.3054471660588127,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
1e-05,0.31206777035414207,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1e-05,0.3773563802880996,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1e-05,0.3918912466269557,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1e-05,0.404282969768607,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
1e-05,0.405,avoided,6,9,"|3,1>","|4,1>",0.002155451809812803,2.155451809812803
1e-05,0.495,avoided,8,9,"|5,2>","|3,1>",3.0850060284137726e-09,3.0850060284137726e-06
1e-05,0.4999999852541519,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1e-05,0.4999999926928955,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4999923819834134,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.49999237114796286,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.40558189726847016,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,-0.405,avoided,6,9,"|3,1>","|4,1>",0.0021737998091566624,2.1737998091566624
0.005,-0.39185854658637376,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.3773193101855848,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.3120056694422107,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.3053693230242472,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,-0.24865595608019123,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.24865581654196245,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.1923215401020067,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.1755726390445324,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,-0.06097273599517242,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.060972735991393426,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.005,0.175572639044648,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.005,0.19232154010211125,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.24865581654075003,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.24865595608014793,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,0.3053693230242351,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.005,0.3120056694420621,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.377319310186145,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.39185854658633784,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.4042840148324628,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,0.405,avoided,6,9,"|3,1>","|4,1>",0.0021737997683430876,2.1737997683430876
0.005,0.4999923711534892,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.49999238198775364,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.4999847482960146,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49998470489084906,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.4055310831796293,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.01,-0.405,avoided,6,9,"|3,1>","|4,1>",0.002254141739967963,2.254141739967963
0.01,-0.39184443507604594,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.37730353207044526,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.31197873462634174,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,-0.305334863923767,crossing,8,9,"|6,0>","|0,2>",0.0,0.0
0.01,-0.24861578499657683,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.01,-0.24861525590508843,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,-0.19226404236884942,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,-0.17550864789765108,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
0.01,-0.060775147871516826,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.01,0.06077514787511436,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.01,0.17550864789749282,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
