beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4999195553942168,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.49991730161316716,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.4466392330395397,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.44663917660964486,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,-0.40581258934719533,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.40458367292783587,crossing,7,10,"|3,1>","|2,1>",0.0
0.1,-0.4,avoided,7,11,"|3,1>","|5,0>",0.005348229989692754
0.1,-0.3917624161132472,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,-0.37719032364113636,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,-0.3771902457668705,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.31178192829727225,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,-0.3086429811398606,crossing,6,11,"|0,2>","|5,0>",0.0
0.1,-0.3050473773685905,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,-0.2482848766621858,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24823128329689564,crossing,6,10,"|0,2>","|2,1>",0.0
0.1,-0.1919748542871665,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.17499978909078803,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,-0.1711897382620713,crossing,9,11,"|1,2>","|5,0>",0.0
0.1,-0.1028956695057135,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,-0.05884524564789583,crossing,5,10,"|4,0>","|2,1>",0.0
0.1,0.05884524564861522,crossing,5,10,"|4,0>","|2,1>",0.0
0.1,0.10289566950578896,crossing,7,9,"|3,1>","|1,2>",0.0
0.1,0.17118973826202505,crossing,9,11,"|1,2>","|5,0>",0.0
0.1,0.17499978909074485,crossing,5,6,"|4,0>","|0,2>",0.0
0.1,0.19197485428712568,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.2482312832961598,crossing,6,10,"|0,2>","|2,1>",0.0
0.1,0.24828487666167343,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.305047377368531,crossing,6,7,"|0,2>","|3,1>",0.0
0.1,0.3086429811398105,crossing,6,11,"|0,2>","|5,0>",0.0
0.1,0.3117819282972941,crossing,4,5,"|1,1>","|4,0>",0.0
0.1,0.3771902457670077,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.37719032364098937,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.39176241611327933,crossing,2,5,"|0,1>","|4,0>",0.0
0.1,0.4,avoided,7,11,"|3,1>","|5,0>",0.005348229987845343
0.1,0.4045836729276723,crossing,7,10,"|3,1>","|2,1>",0.0
0.1,0.40581258934718467,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.44663917660954194,crossing,5,8,"|4,0>","|3,0>",0.0
0.1,0.4466392330398069,crossing,6,9,"|0,2>","|1,2>",0.0
0.1,0.49991730161332454,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.49991955539413696,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4998365444616728,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.49982753098412425,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.4466416418924794,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.4466414149389241,crossing,5,8,"|4,0>","|3,0>",0.0
0.2,-0.4179208614063762,crossing,10,11,"|5,0>","|2,1>",0.0
0.2,-0.41177290209686834,crossing,7,10,"|3,1>","|5,0>",0.0
0.2,-0.4058131138308085,crossing,6,9,"|0,2>","|1,2>",0.0
0.2,-0.4,avoided,10,11,"|5,0>","|2,1>",0.007663200756610422
0.2,-0.39172641352498383,crossing,2,5,"|0,1>","|4,0>",0.0
0.2,-0.39,avoided,7,10,"|3,1>","|5,0>",0.007853214383914064
0.2,-0.3771541592684274,crossing,6,9,"|0,2>","|1,2>",0.0
