beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.96864939477382,-1.2038886040954822e-05,1.2038886040954822e-05,0.0,0.9685576212424394,0.9684658477110588,10.008297601181368,10.976843183537767,20.016595202324083,0.0,0.9685576212424394,0.9684658477110588,10.008284458526816,3.8740468221150195,10.976843183537767,3.8740468231601426,10.976749637635123,8.716604775976634,8.716604775990902,13.882332364717854,13.882332363636124,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9586523520464993,-1.200879614771111e-05,1.200879614771111e-05,0.0,1.0159651147752697,1.0732778775040401,10.008297601181368,11.02425070716049,20.016595202324083,0.0,1.0159651147752697,1.0732778775040401,10.008284570408193,3.9355088297356247,11.02425070716049,3.9355602154341796,11.081561599790234,8.775787088984714,8.775787092833468,13.94384572469437,13.94379435308798,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9295720352407102,-1.1920081021798978e-05,1.1920081021798978e-05,0.0,1.1330457314548994,1.3365194276690886,10.008297601181368,11.141331412555246,20.016595202324083,0.0,1.1330457314548994,1.3365194276690886,10.008284840391354,4.094184273379312,11.141331412555246,4.095005927304555,11.34480301514077,8.927893857891036,8.927894113774869,14.103291337537712,14.102469743803908,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8840263594261728,-1.1777124996115163e-05,1.1777124996115163e-05,0.0,1.2813823622594214,1.67873836509267,10.008297601181368,11.289668186315794,20.016595202324083,0.0,1.2813823622594214,1.67873836509267,10.008285185515149,4.3100323251761665,11.289668186315794,4.314116411749012,11.687021840672458,9.133653247474626,9.133656159172688,14.322401650132406,14.318317712166163,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8260099514269541,-1.1586166294819122e-05,1.1586166294819122e-05,0.0,1.438915605480986,2.051821259535018,10.008297601181368,11.44720162049606,20.016595202324083,0.0,1.438915605480986,2.051821259535018,10.008285572447335,4.558535514300786,11.44720162049606,4.571079489975773,12.060104691105437,9.369702083035236,9.369718282129782,14.579364475484738,14.566820793592399,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7603811336181252,-1.135419057618492e-05,1.135419057618492e-05,0.0,1.5957977269966364,2.4312143203751475,10.008297601181368,11.604083973987429,20.016595202324083,0.0,1.5957977269966364,2.4312143203751475,10.008286001430577,4.8268473072001825,11.604083973987429,4.8563118264887635,12.439497797013814,9.624582056386828,9.624642926706542,14.864596470740253,14.83513246157537,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.44,-0.6922157997615273,-1.1087905136264453e-05,1.1087905136264453e-05,0.0,1.7478605065817874,2.8035052134020475,10.008297601181368,11.75614701985802,20.016595202324083,0.0,1.7478605065817874,2.8035052134020475,10.008286620777824,5.16571309945391,11.75614701985802,5.1075548391073085,12.811788832402897,9.89234934714176,9.892527515894187,15.115839858381662,15.173997311765959,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.43,-0.6261134696080717,-1.0792961234074028e-05,1.0792961234074028e-05,0.0,1.8934633118484498,3.160813154088828,10.008297601181368,11.901750120068584,20.016595202324083,0.0,1.8934633118484498,3.160813154088828,10.008286508360015,5.497176905408992,11.901750120068584,5.395772034816787,13.169097008714175,10.169539098312782,10.169979014822275,15.40405691529844,15.505460601680625,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.42,-0.56560008243639,-1.047344267135486e-05,1.047344267135486e-05,0.0,2.032124618875514,3.498649155314638,10.008297601181368,12.040411746614211,20.016595202324083,0.0,2.032124618875514,3.498649155314638,10.008287068387574,5.848875131293028,12.040411746614211,5.687944828761374,13.506933322818782,10.45387794130096,10.454831726183045,15.696229572412562,15.85715824371374,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.41000000000000003,-0.5127980370128853,-1.0131402007118595e-05,1.0131402007118595e-05,0.0,2.1639012967647204,3.8150045565165556,10.008297601181368,12.172188766544082,20.016595202324083,0.0,2.1639012967647204,3.8150045565165556,10.008287523435058,6.218454860430938,12.172188766544082,5.981334783192722,13.823289089849425,10.743710615627379,10.745585850308203,15.98961939675354,16.226737343595005,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
