beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
1.25e-06,-0.49999998580882843,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
1.25e-06,-0.49999998498108217,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1.25e-06,-0.4999982247923284,crossing,3,4,"|4,1>","|6,2>",0.0,0.0
1.25e-06,-0.41608525095697707,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
1.25e-06,-0.4156915436712814,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
1.25e-06,-0.394748762559425,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
1.25e-06,-0.39315272685719943,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
1.25e-06,-0.39147822291184253,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1.25e-06,-0.376773202661087,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1.25e-06,-0.31149601650387637,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1.25e-06,-0.3041897134424676,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
1.25e-06,-0.2474056161452617,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
1.25e-06,-0.2474056159521358,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
1.25e-06,-0.19066898917276884,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1.25e-06,-0.17392801912261738,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
1.25e-06,-0.056152178263214114,crossing,3,6,"|4,0>","|2,1>",0.0,0.0
1.25e-06,0.056152178278488694,crossing,3,6,"|4,0>","|2,1>",0.0,0.0
1.25e-06,0.17392801913813533,crossing,3,9,"|0,2>","|4,0>",0.0,0.0
1.25e-06,0.19066898912412444,crossing,4,7,"|3,0>","|1,1>",0.0,0.0
1.25e-06,0.24740561590183696,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
1.25e-06,0.24740561607174147,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
1.25e-06,0.30418971316693394,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
1.25e-06,0.3114960165075301,crossing,3,7,"|4,0>","|1,1>",0.0,0.0
1.25e-06,0.37677320268640774,crossing,4,5,"|3,0>","|0,1>",0.0,0.0
1.25e-06,0.39147822293152124,crossing,3,5,"|5,0>","|4,0>",0.0,0.0
1.25e-06,0.3931527232009431,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
1.25e-06,0.39474878148997156,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
1.25e-06,0.4156915447928684,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
1.25e-06,0.41608525135507585,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
1.25e-06,0.495,avoided,8,9,"|5,2>","|3,1>",2.990418579429388e-09,2.990418579429388e-06
1.25e-06,0.49999998490793923,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
1.25e-06,0.4999999865317322,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4999389984226974,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.49993891183104294,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.4160569503606358,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,-0.4156959572408963,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.005,-0.39451296477606573,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,-0.39299468232869833,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.005,-0.39138291387161556,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.3766674889972052,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.31131389319619673,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.3040010347436623,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,-0.24713940762576594,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.24713916722608345,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.005,-0.19030092779069702,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.17348307052806441,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,-0.05462163362907996,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.054621633629662374,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.17348307052792558,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,0.19030092779058067,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,0.2471391672261371,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.005,0.24713940762497486,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,0.3040010347439999,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,0.31131389319607267,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,0.37666748899729463,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,0.39138291387143737,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,0.3929946823296598,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.005,0.39451296477780423,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,0.41569595723836605,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.005,0.4160569503604852,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.005,0.4999389118312667,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,0.4999389984220416,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49987783538383834,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.01,-0.49987748901824236,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.01,-0.41609784142607625,crossing,6,8,"|3,1>","|2,1>",0.0,0.0
0.01,-0.4158106612410327,crossing,6,9,"|3,1>","|6,1>",0.0,0.0
0.01,-0.415,avoided,8,9,"|2,1>","|6,1>",0.0009769394802390252,0.9769394802390252
0.01,-0.3942448829553226,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.01,-0.3928668705461028,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.01,-0.39134374223321244,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,-0.3766260708376547,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,-0.31123734136091485,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,-0.30392432253820356,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,-0.24703519756479264,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,-0.24703390909055878,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.01,-0.1902476896988813,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,-0.17329971590851911,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,-0.05394699252502491,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.05394699252485681,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.01,0.17329971590833854,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.01,0.19024768969753394,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.01,0.247033909090043,crossing,1,5,"|2,0>","|0,1>",0.0,0.0
0.01,0.2470351975642045,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.01,0.3039243225382905,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.01,0.31123734136088876,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.01,0.37662607083776256,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.01,0.391343742233219,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.01,0.39286687054617075,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.01,0.39424488295636445,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
