beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.974025160225068,-0.0002300372045453969,0.0002300372045453969,0.0,0.9703366149714441,0.9666480697178201,6.941476731187834,7.911583308954732,13.882953451939002,0.0,0.9703366149714441,6.941165998017524,0.9666480697178201,7.911583308954732,3.8739463928014573,10.815319767900135,3.87394805530937,7.907791977657325,10.8153180913868,8.716230794298454,8.71623079461861,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9640426561541062,-0.00023051180137656502,0.00023051180137656502,0.0,1.0176011551472186,1.071159654140331,6.941476731187834,7.958847374533676,13.882953451939002,0.0,1.0176011551472186,6.941168923969926,1.071159654140331,7.958847374533676,3.9352031401008816,10.876594449665632,3.935224880737991,8.012300866442274,10.876573482947805,8.77521180627599,8.775211887743879,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9349977776972054,-0.00023163972947770617,0.00023163972947770617,0.0,1.1343488952077223,1.3337000127182392,6.941476731187834,8.075593986666078,13.882953451939002,0.0,1.1343488952077223,6.941176133905344,1.3337000127182392,8.075593986666078,4.09336327929816,11.035418604742588,4.0940555947979504,8.274833885666041,11.034729671564463,8.926812625835012,8.92681445152897,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8894857210034246,-0.0002326909273193678,0.0002326909273193678,0.0,1.2822909351645109,1.6750961493255971,6.941476731187834,8.223534975425025,13.882953451939002,0.0,1.2822909351645109,6.941185644491185,1.6750961493255971,8.223534975425025,4.308526725580279,11.253649121707497,4.312297434218806,8.616216895504223,11.249886893977418,9.131895264433155,9.131906859218077,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8314691424068172,-0.00023284555551583708,0.00023284555551583708,0.0,1.439426543149409,2.047383943892001,6.941476731187834,8.380670428781727,13.882953451939002,0.0,1.439426543149409,6.941196628189559,2.047383943892001,8.380670428781727,4.556252810421512,11.509528150499719,4.568193003968247,8.988478415979046,11.497604935785617,9.367163756094698,9.367210695119823,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7657733800931084,-0.0002314849229065885,0.0002314849229065885,0.0,1.595927665298575,2.4260819505040416,6.941476731187834,8.537172911563502,13.882953451939002,0.0,1.595927665298575,6.941208844855851,2.4260819505040416,8.537172911563502,4.823735389423646,11.79349110408431,4.85217808656607,9.367115313042277,11.765078152403134,9.621189837400038,9.621340922587265,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|4,0>","|5,0>"
0.1,-0.44,-0.6974501705351486,-0.00022830224405367971,0.00022830224405367971,0.0,1.7476310272036528,2.797811883872157,6.941476731187834,8.688879456147433,13.882953451939002,0.0,1.7476310272036528,6.941222329680045,2.797811883872157,8.688879456147433,5.160165932781297,12.044919684566437,5.103587131221559,9.738681247368845,12.101451172214254,9.88804572670017,9.888478603002667,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|4,0>","|5,0>"
0.1,-0.43,-0.6310922321296033,-0.00022326360409863355,0.00022326360409863355,0.0,1.8928955566771037,3.154698881224604,6.941476731187834,8.834149024260839,13.882953451939002,0.0,1.8928955566771037,6.941237412239488,3.154698881224604,8.834149024260839,5.490073236766818,12.332262014173779,5.390940119024307,10.09501380884538,12.431325389958687,10.16427708748813,10.16552564125827,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|4,0>","|5,0>"
0.1,-0.42,-0.5702391570212626,-0.0002165082297835852,0.0002165082297835852,0.0,2.031237490491236,3.4922358239612095,6.941476731187834,8.972497713449286,13.882953451939002,0.0,2.031237490491236,6.941255075038029,3.4922358239612095,8.972497713449286,5.840109445620712,12.62356478019582,5.682253684677889,10.42935169022897,12.781323565430142,10.447618625109712,10.45257622046259,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|4,0>","|5,0>"
0.1,-0.41000000000000003,-0.5170426656950298,-0.00020825351643338763,0.00020825351643338763,0.0,2.1627111080984918,3.8083795505019538,6.941476731187834,9.103979585769892,13.882953451939002,0.0,2.1627111080984918,6.941278570181012,3.8083795505019538,9.103979585769892,6.20796835367581,12.916099575106756,5.974799203795428,10.732505013731,13.149137970358723,10.736421952415611,10.755278321842766,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>","|3,1>","|1,2>","|4,0>","|5,0>"
