beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
0.1,-0.5,-0.9687867767251532,-2.4077174316516903e-05,2.4077174316516903e-05,0.0,0.9686032387753016,0.96841970082545,10.007874025080866,10.976453186681852,20.015748049898377,0.0,0.9686032387753016,0.96841970082545,10.007847740911927,3.8740456428589027,10.976453186681852,3.8740456471241487,10.976266105119635,8.716601547226503,8.716601547235939,13.881895554153402,13.881895549767762,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.49,-0.9587932926797293,-2.4016998679599055e-05,2.4016998679599055e-05,0.0,1.0159926723042076,1.073192051928686,10.007874025080866,11.023842680386394,20.015748049898377,0.0,1.0159926723042076,1.073192051928686,10.007847964717541,3.9354834916063055,11.023842680386394,3.9355340423294365,11.08103832085817,8.775760470186015,8.775760473799892,13.94338388482305,13.943333362196256,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.48,-0.9297228740203991,-2.383961208352048e-05,2.383961208352048e-05,0.0,1.1330347589600365,1.3363466438996738,10.007874025080866,11.14088494442882,20.015748049898377,0.0,1.1330347589600365,1.3363466438996738,10.007848504753042,4.0941025678805545,11.14088494442882,4.094920331200228,11.34419264300044,8.92781295503869,8.927813206822805,14.102769975720832,14.101952332605492,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.47,-0.8841912529367733,-2.355374675744315e-05,2.355374675744315e-05,0.0,1.281330528661158,1.6784698043855428,10.007874025080866,11.289180999995267,20.015748049898377,0.0,1.281330528661158,1.6784698043855428,10.007849195083054,4.309881462117005,11.289180999995267,4.313954865705,11.686315579408245,9.133505965958989,9.133508854423383,14.321804166736285,14.317731060032884,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.46,-0.8261899027821755,-2.3171889552031644e-05,2.3171889552031644e-05,0.0,1.4388264276118434,2.0514629524415113,10.007874025080866,11.446677280803158,20.015748049898377,0.0,1.4388264276118434,2.0514629524415113,10.007849968993753,4.558310397124615,11.446677280803158,4.570830977351875,12.059308639079802,9.369483137873203,9.369499252293963,14.578679772919429,14.566159779667544,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
0.1,-0.45,-0.7605736908059839,-2.270801337544981e-05,2.270801337544981e-05,0.0,1.5956755428162523,2.4307773948265208,10.007874025080866,11.603526859883743,20.015748049898377,0.0,1.5956755428162523,2.4307773948265208,10.007850827003551,4.826545760089061,11.603526859883743,4.855965926814974,12.438623171139454,9.624288096294038,9.62434871915184,14.863814040239276,14.834394892832336,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.44,-0.69241556323027,-2.217552474803597e-05,2.217552474803597e-05,0.0,1.7477092321788064,2.8030029011273427,10.007874025080866,11.755561081734925,20.015748049898377,0.0,1.7477092321788064,2.8030029011273427,10.007852065849534,5.165259264898111,11.755561081734925,5.1071763412739415,12.810848961668228,9.891977731079123,9.892155157455761,15.11502520387478,15.173106514893448,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.43,-0.6263133536508576,-2.158572323196495e-05,2.158572323196495e-05,0.0,1.8932862104297783,3.160259067208699,10.007874025080866,11.901138649787413,20.015748049898377,0.0,1.8932862104297783,3.160259067208699,10.007851840906028,5.496605232815398,11.901138649787413,5.3953172780873615,13.168105598513534,10.169087596757151,10.169526745435235,15.403165863135541,15.50445145118698,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.42,-0.5657929699467559,-2.0946786946751672e-05,2.0946786946751672e-05,0.0,2.031924332566973,3.4980556951871904,10.007874025080866,12.039777410860893,20.015748049898377,0.0,2.031924332566973,3.4980556951871904,10.007852960889466,5.8481776594128405,12.039777410860893,5.68741544274269,13.50590285178464,10.453344658901585,10.454296545208479,15.69526375413784,15.856022710530965,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.41000000000000003,-0.5129782363016488,-2.0262807254312065e-05,2.0262807254312065e-05,0.0,2.16367994579349,3.814381655285331,10.007874025080866,12.171533708067102,20.015748049898377,0.0,2.16367994579349,3.814381655285331,10.007853870945723,6.217626710003628,12.171533708067102,5.980733104497915,13.82222954320946,10.743093973633847,10.744965624500878,15.988581155735858,16.22547050301671,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.4,-0.46861850585247566,-1.9532472549599333e-05,1.9532472549599333e-05,0.0,2.288850357167121,4.109082208481766,10.007874025080866,12.296704849775438,20.015748049898377,0.0,2.288850357167121,4.109082208481766,10.007854750063814,6.6018764784094515,12.296704849775438,6.273099489720437,14.116930881771111,11.037022547281197,11.040426014085938,16.28094730240798,16.609718965521324,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.39,-0.4324069889697171,-1.8746131559055357e-05,1.8746131559055357e-05,0.0,2.407826303701313,4.383245618432909,10.007874025080866,12.41568158265062,20.015748049898377,0.0,2.407826303701313,4.383245618432909,10.007855618836516,6.997309620229657,12.41568158265062,6.562773996613316,14.391095087529152,11.334016208793457,11.339821546696612,16.57062159912971,17.005150780982092,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.38,-0.40341190418865835,-1.7878529433801305e-05,1.7878529433801305e-05,0.0,2.5210184459697302,4.638624987750802,10.007874025080866,12.528874592521163,20.015748049898377,0.0,2.5210184459697302,4.638624987750802,10.00785648218357,7.400107892325991,12.528874592521163,6.848359697182673,14.646475233661363,11.633081120112593,11.64246746597371,16.85620712349771,17.407947708230324,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.37,-0.3804559079140972,-1.6868504189915257e-05,1.6868504189915257e-05,0.0,2.628821841005845,4.877187774097592,10.007874025080866,12.636678997582521,20.015748049898377,0.0,2.628821841005845,4.877187774097592,10.00785734216879,7.806564620362508,12.636678997582521,7.1287418185197,14.885038762144859,11.933299297760072,11.9477998755292,17.814403042515607,17.136589107021564,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.36,-0.36236839643493113,-1.5548714884516812e-05,1.5548714884516812e-05,0.0,2.7316002344053913,5.100832072375852,10.007874025080866,12.739458710771373,20.015748049898377,0.0,2.7316002344053913,5.100832072375852,10.007858201299939,8.21328630312297,12.739458710771373,7.403040136526954,15.108683762298654,12.233803311214842,12.255339927929072,18.2211232088697,17.410887328794104,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.35,-0.348114490859075,-1.3289295509366639e-05,1.3289295509366639e-05,0.0,2.8296806582668523,5.31124682567463,10.007874025080866,12.83754139405221,20.015748049898377,0.0,2.8296806582668523,5.31124682567463,10.007859065544267,8.617283872443068,12.83754139405221,7.670570101904161,15.319099177672115,12.53376218298257,12.56466517212516,18.62511899388869,17.67841724140584,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.33999999999999997,-0.3368386166332016,-4.170700321992626e-06,4.170700321992626e-06,0.0,2.923353246984675,5.5098678773361485,10.007874025080866,12.93122310136522,20.015748049898377,0.0,2.923353246984675,5.5098678773361485,10.007859951788987,9.015989422618304,12.93122310136522,7.930810087730038,15.517720855093444,12.832369915817026,12.875384232155284,19.02382219847891,17.93865721847152,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.32999999999999996,-0.32786117279795235,-2.769198033547582e-05,2.769198033547582e-05,0.0,3.012873533724189,5.697885894650426,10.007874025080866,13.02071986682472,20.015748049898377,0.0,3.012873533724189,5.697885894650426,10.00786092285017,9.407234943896071,13.02071986682472,8.183373342194272,15.705739466375803,13.128893960628432,13.187113124830887,19.415064128240033,18.19122050738406,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.32,-0.32065500796079505,-1.951995136550977e-05,1.951995136550977e-05,0.0,3.0984657660131347,5.876276524065474,10.007874025080866,13.106320271142636,20.015748049898377,0.0,3.0984657660131347,5.876276524065474,10.007862480052665,9.78921731310055,13.106320271142636,8.42798381856801,15.884130662656275,13.422526368104172,13.499452893693217,19.79703940195617,18.435831059406837,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.31,-0.31481666960638677,-1.7375791344420577e-05,1.7375791344420577e-05,0.0,3.1803264777059894,6.045836285805592,10.007874025080866,13.188183126995511,20.015748049898377,0.0,3.1803264777059894,6.045836285805592,10.007860277773375,10.160468153383363,13.188183126995511,8.664455354648624,16.053690968523426,13.712591517678561,13.811969171802218,20.015720554507027,18.6723027092371,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.3,-0.31003941581917616,-1.6137176544361864e-05,1.6137176544361864e-05,0.0,3.2586279378000995,6.207216459781023,10.007874025080866,13.266485825704422,20.015748049898377,0.0,3.2586279378000995,6.207216459781023,10.007862253240205,10.519804917530564,13.266485825704422,8.892673826314308,16.21507166795169,13.998403669622235,14.124174873763991,20.015724506144636,18.90052132886467,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.29000000000000004,-0.3060905171113859,-1.5214294592169608e-05,1.5214294592169608e-05,0.0,3.333521305185002,6.360952093258618,10.007874025080866,13.341380115971276,20.015748049898377,0.0,3.333521305185002,6.360952093258618,10.00786319404125,10.866328243818941,13.341380115971276,9.112581973434601,16.368807812150294,14.279316832831512,14.435517440757394,20.015726387822724,19.12042965374934,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.28,-0.30279321968339445,-1.4445437273025163e-05,1.4445437273025163e-05,0.0,3.405139428878556,6.507485638073717,10.007874025080866,13.41299900852215,20.015748049898377,0.0,3.405139428878556,6.507485638073717,10.007863992236935,11.19937664401516,13.41299900852215,9.324166627211355,16.515341857071633,14.554722826887712,14.745371893755078,20.015727984185446,19.332014510322097,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.27,-0.3000128610456727,-1.3768727797014435e-05,1.3768727797014435e-05,0.0,3.4735992904224986,6.6471857197993245,10.007874025080866,13.481459546775568,20.015748049898377,0.0,3.4735992904224986,6.6471857197993245,10.007864730649487,11.518507506407389,13.481459546775568,9.527448080522163,16.655042433099823,14.824052579606757,15.05304042152153,20.015729461016974,19.535296186679545,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.26,-0.2976463738368693,-1.3155658677987958e-05,1.3155658677987958e-05,0.0,3.5390041127861878,6.780361851735506,10.007874025080866,13.546864982208376,20.015748049898377,0.0,3.5390041127861878,6.780361851735506,10.007865430263678,11.823469360221168,13.546864982208376,9.722471349544037,16.788219059820165,15.086777044107976,15.357758461614537,20.01573086025769,19.730319694328898,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.25,-0.29561442874046406,-1.2591462791533559e-05,1.2591462791533559e-05,0.0,3.601445170497584,6.907275912254704,10.007874025080866,13.609306604115659,20.015748049898377,0.0,3.601445170497584,6.907275912254704,10.00786609842828,12.114173470124797,13.609306604115659,9.909299080915616,16.915133624566522,15.342407499164494,15.658706413695484,20.015732196573595,19.917147675482568,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.24,-0.29385558076268126,-1.2067811553606589e-05,1.2067811553606589e-05,0.0,3.6610033389279693,7.028151097093257,10.007874025080866,13.668865296197282,20.015748049898377,0.0,3.6610033389279693,7.028151097093257,10.007866738084942,12.390664664363669,13.668865296197282,10.08800587065872,17.036009337319115,15.590495233647005,15.955025463794982,20.01573347589232,20.09585472214502,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.22999999999999998,-0.29232191407214714,-1.1579754470858461e-05,1.1579754470858461e-05,0.0,3.717750419228082,7.143178924384017,10.007874025080866,13.725612864554478,20.015748049898377,0.0,3.717750419228082,7.143178924384017,10.007867350452955,12.653092476795905,13.725612864554478,10.258673776672765,17.151037740572065,15.830630676565647,16.245835640198663,20.01573470062482,20.26652288858304,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.21999999999999997,-0.2909757983908321,-1.1124141849450098e-05,1.1124141849450098e-05,0.0,3.7717502713681483,7.252524744345465,10.007874025080866,13.779613172307165,20.015748049898377,0.0,3.7717502713681483,7.252524744345465,10.007867935948923,12.90168388407892,13.779613172307165,10.4213888258966,17.26038423103296,16.06244205847952,16.530254212674777,20.015735871627726,20.42923819857907,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.21000000000000002,-0.28978746753466567,-1.0698883329496311e-05,1.0698883329496311e-05,0.0,3.8230597844589624,7.356332101383259,10.007874025080866,13.8309231106565,20.015748049898377,0.0,3.8230597844589624,7.356332101383259,10.007868494643162,13.136718770673554,13.8309231106565,10.576238339482757,17.364192454731324,16.285593699139554,16.807412825629456,20.015736989008474,20.584087970542555,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.2,-0.2887332050344753,-1.0302530540684529e-05,1.0302530540684529e-05,0.0,3.8717297089357885,7.454726212837102,10.007874025080866,13.879593431486114,20.015748049898377,0.0,3.8717297089357885,7.454726212837102,10.007869026407434,13.358508897834781,13.879593431486114,10.723308921724595,17.462587902883683,16.49978401543109,17.07647217078636,20.015738052541394,20.731158806473275,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.19,-0.2877939788753565,-9.93396929516166e-06,9.93396929516166e-06,0.0,3.9178053717253647,7.547816764575373,10.007874025080866,13.925669462836936,20.015748049898377,0.0,3.9178053717253647,7.547816764575373,10.007869531056087,13.56738072810765,13.925669462836936,10.86268498103533,17.555681343491244,16.704743337736772,17.336633141448488,20.015739061832107,20.870535112860466,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.18,-0.2869544091403782,-9.592296521532262e-06,9.592296521532262e-06,0.0,3.96132729219795,7.635700175255522,10.007874025080866,13.969191724982295,20.015748049898377,0.0,3.96132729219795,7.635700175255522,10.007870008380962,13.763662071282283,13.969191724982295,10.994447672035278,17.643582485102343,16.900231613528035,17.587134050573184,20.0157400164901,21.002298042763414,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
0.1,-0.16999999999999998,-0.2862019832929832,-9.276718060391431e-06,9.276718060391431e-06,0.0,4.002331713756291,7.718461444219599,10.007874025080866,14.010196462119097,20.015748049898377,0.0,4.002331713756291,7.718461444219599,10.007870458212949,13.94767223176683,14.010196462119097,11.118674166819233,17.726307277603382,17.086036065946246,17.82735078552747,20.015740916151344,21.126524766994805,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
