beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.49967790581489596,crossing,1,3,unlabeled,unlabeled,0.0
0.1,-0.4996689001088644,crossing,4,7,unlabeled,unlabeled,0.0
0.1,-0.4466460347316103,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.44664580570392237,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,-0.41795068903651755,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,-0.4058143662302796,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.40458326436052866,crossing,7,11,"|1,2>","|4,0>",0.0
0.1,-0.3914827525990116,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,-0.39,avoided,7,10,"|1,2>","|5,0>",0.008266854840982774
0.1,-0.3768514549810172,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,-0.3768511671385826,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,-0.325689865463712,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.3112996915015138,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,-0.30800879167937356,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,-0.3043758337493909,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,-0.27545733094379127,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.2473839012698442,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,-0.24727443628326545,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,-0.2252984884743583,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.19152655112152916,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,-0.17372615599019994,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,-0.16999999999999998,avoided,7,9,"|1,2>","|3,1>",0.05566057885069142
0.1,-0.1004319681357992,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,-0.05498117032181651,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.05498117032178876,crossing,5,11,"|2,1>","|4,0>",0.0
0.1,0.10043196813569659,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.17000000000000004,avoided,7,9,"|1,2>","|3,1>",0.0556605788511888
0.1,0.1737261559901745,crossing,5,6,"|2,1>","|0,2>",0.0
0.1,0.1915265511213246,crossing,4,8,"|1,1>","|3,0>",0.0
0.1,0.22529848847435183,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.2472744362830604,crossing,6,11,"|0,2>","|4,0>",0.0
0.1,0.24738390126947948,crossing,2,3,"|0,1>","|2,0>",0.0
0.1,0.2754573309437924,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3043758337494123,crossing,6,10,"|0,2>","|5,0>",0.0
0.1,0.30800879167937817,crossing,6,7,"|0,2>","|1,2>",0.0
0.1,0.31129969150151876,crossing,4,5,"|1,1>","|2,1>",0.0
0.1,0.32568986546373646,crossing,7,10,"|1,2>","|5,0>",0.0
0.1,0.3768511671386141,crossing,2,8,"|0,1>","|3,0>",0.0
0.1,0.3768514549810498,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.39,avoided,7,10,"|1,2>","|5,0>",0.008266854840485394
0.1,0.39148275259899384,crossing,2,5,"|0,1>","|2,1>",0.0
0.1,0.40458326436035913,crossing,7,11,"|1,2>","|4,0>",0.0
0.1,0.4058143662302879,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.417950689036378,crossing,10,11,"|5,0>","|4,0>",0.0
0.1,0.44664580570389717,crossing,5,8,"|2,1>","|3,0>",0.0
0.1,0.44664603473166203,crossing,6,9,"|0,2>","|3,1>",0.0
0.1,0.49966890010880216,crossing,4,7,unlabeled,unlabeled,0.0
0.1,0.49967790581481825,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4993460882130317,crossing,1,3,unlabeled,unlabeled,0.0
0.2,-0.4993100893276664,crossing,4,7,unlabeled,unlabeled,0.0
0.2,-0.44665569321342985,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.4466547564469053,crossing,5,8,"|2,1>","|3,0>",0.0
0.2,-0.4167251049184246,crossing,10,11,"|1,2>","|4,0>",0.0
0.2,-0.41343574667536087,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,-0.40581616540195165,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.4,avoided,10,11,"|1,2>","|4,0>",0.011910983984279255
0.2,-0.39144198478761305,crossing,2,5,"|0,1>","|2,1>",0.0
0.2,-0.38,avoided,7,10,"|5,0>","|1,2>",0.013246747271779213
0.2,-0.3768185332095125,crossing,6,9,"|0,2>","|3,1>",0.0
0.2,-0.3768173581905138,crossing,2,8,"|0,1>","|3,0>",0.0
0.2,-0.3256817209234809,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,-0.311129488153145,crossing,4,5,"|1,1>","|2,1>",0.0
0.2,-0.3079001695084952,crossing,6,10,"|0,2>","|1,2>",0.0
0.2,-0.30426138196050945,crossing,6,7,"|0,2>","|5,0>",0.0
0.2,-0.27545699662860973,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,-0.24699766980002366,crossing,2,3,"|0,1>","|2,0>",0.0
0.2,-0.24672554460186252,crossing,6,11,"|0,2>","|4,0>",0.0
0.2,-0.22529872766594247,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,-0.1923775317283804,crossing,4,8,"|1,1>","|3,0>",0.0
0.2,-0.1733945854097525,crossing,5,6,"|2,1>","|0,2>",0.0
0.2,-0.16999999999999998,avoided,9,10,"|3,1>","|1,2>",0.061364254670110085
0.2,-0.09983582825138808,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,-0.05411079945724356,crossing,5,11,"|2,1>","|4,0>",0.0
0.2,0.05411079945727089,crossing,5,11,"|2,1>","|4,0>",0.0
0.2,0.09983582825135369,crossing,7,10,"|5,0>","|1,2>",0.0
0.2,0.17000000000000004,avoided,9,10,"|3,1>","|1,2>",0.06136425467020956
0.2,0.1733945854097067,crossing,5,6,"|2,1>","|0,2>",0.0
