beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
2.5e-06,-0.49999998665607936,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
2.5e-06,-0.4999999848555207,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
2.5e-06,-0.49,avoided,8,9,"|5,2>","|3,1>",6.2282197177410126e-09,6.2282197177410126e-06
2.5e-06,-0.4114836377571681,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
2.5e-06,-0.41055968850546065,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
2.5e-06,-0.39996181689367166,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
2.5e-06,-0.3979988315864169,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
2.5e-06,-0.39174264814520604,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
2.5e-06,-0.37714656345268566,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
2.5e-06,-0.31186206360590196,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
2.5e-06,-0.3049287824300203,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
2.5e-06,-0.24826576569623096,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
2.5e-06,-0.24826576559221858,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
2.5e-06,-0.19181254193925346,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
2.5e-06,-0.17508836683268217,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
2.5e-06,-0.059617547843244655,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
2.5e-06,0.059617549557290525,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
2.5e-06,0.17508836681522819,crossing,4,9,"|4,0>","|0,2>",0.0,0.0
2.5e-06,0.19181254188855992,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
2.5e-06,0.2482657652477937,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
2.5e-06,0.24826576652277837,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
2.5e-06,0.30492878209598057,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
2.5e-06,0.3118620636074075,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
2.5e-06,0.3771465636046171,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
2.5e-06,0.39174264817137916,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
2.5e-06,0.3979988324974842,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
2.5e-06,0.3999618171764772,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
2.5e-06,0.41055968827149675,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
2.5e-06,0.4114836374127435,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
2.5e-06,0.4999999848713674,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
2.5e-06,0.49999998815796753,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.499969511698631,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.005,-0.49996946833145217,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.005,-0.41148239868486264,crossing,6,8,"|6,1>","|2,1>",0.0,0.0
0.005,-0.4106310957278009,crossing,6,9,"|6,1>","|3,1>",0.0,0.0
0.005,-0.39961920436216963,crossing,6,9,"|4,1>","|3,1>",0.0,0.0
0.005,-0.3978323640484138,crossing,6,8,"|4,1>","|2,1>",0.0,0.0
0.005,-0.3916760632741106,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.005,-0.377072050075224,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.005,-0.31173496783509336,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.005,-0.30479696846381454,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.005,-0.24807782770472175,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.005,-0.2480775886865836,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.005,-0.19154196975463464,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.005,-0.17477962098955152,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,-0.05858299554692057,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.05858299554632156,crossing,4,6,"|2,1>","|4,0>",0.0,0.0
0.005,0.17477962098937172,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.005,0.19154196975466048,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
