frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
6.922,4.0,0.132045,5.74554174991358,0.5,-0.5,-0.9732784154377185,-0.0009403606494657879,0.0009403606494657879,0.0,0.9700453048160256,0.9668121941943326,6.922432512451053,7.891537456617613,18.175709324316173,0.0,0.9700453048160256,6.9211570532775255,0.9668121941943326,7.891537456617613,3.8736320921384078,7.887878124618027,3.8736330866773443,10.795650499338123,10.795649502645418,8.715053790228083,8.71505379192304,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
6.922,4.0,0.132045,5.74554174991358,0.5,-0.49,-0.9632806120901449,-0.0009422471900393248,0.0009422471900393248,0.0,1.0173942166014598,1.0715078211127746,6.922432512451053,7.938884481862473,18.175709324316173,0.0,1.0173942166014598,6.921169067287039,1.0715078211127746,7.938884481862473,3.935000871724114,7.992562797454227,3.9350265979272905,10.857035073681686,10.857012627377642,8.774150611128775,8.774150945947312,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
6.922,4.0,0.132045,5.74554174991358,0.5,-0.48,-0.9341935006114568,-0.0009467202176551837,0.0009467202176551837,0.0,1.1343214317120953,1.3344493628127339,6.922432512451053,8.055807223945493,18.175709324316173,0.0,1.1343214317120953,6.921198698209466,1.3344493628127339,8.055807223945493,4.0934213276852915,8.255474649013678,4.0941341152143025,11.016115244982089,11.015416606724187,8.926022847870072,8.926029795536024,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
6.922,4.0,0.132045,5.74554174991358,0.5,-0.47,-0.8886225579806819,-0.0009508450549162717,0.0009508450549162717,0.0,1.2824531794111351,1.6762838008415883,6.922432512451053,8.203934846807272,18.175709324316173,0.0,1.2824531794111351,6.921237836932704,1.6762838008415883,8.203934846807272,4.308902543201228,8.59725656342323,4.312729117454637,11.234663036331312,11.230871868666455,9.131441313982734,9.131481013155025,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
6.922,4.0,0.132045,5.74554174991358,0.5,-0.46,-0.8305452789583967,-0.0009513107617777905,0.0009513107617777905,0.0,1.439761830904203,2.0489783828500094,6.922432512451053,8.361243032593478,18.175709324316173,0.0,1.439761830904203,6.921283105337167,2.0489783828500094,8.361243032593478,4.556968355830563,8.969848022699026,4.569028810224438,11.490893750689864,11.47890414898896,9.367074696474276,9.36721933727516,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled,unlabeled
6.922,4.0,0.132045,5.74554174991358,0.5,-0.45,-0.7648032190400613,-0.0009455991350932891,0.0009455991350932891,0.0,1.596415835202265,2.4280284513644688,6.922432512451053,8.517902748518225,18.175709324316173,0.0,1.596415835202265,6.921333542030553,2.4280284513644688,8.517902748518225,4.8247993501184965,9.3486660650847,4.853466250691994,11.775238898369196,11.74669611970269,9.62148252130963,9.621909799178965,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>",unlabeled,"|3,1>","|5,0>","|4,0>"
6.922,4.0,0.132045,5.74554174991358,0.5,-0.44,-0.696461852812817,-0.0009324411736315596,0.0009324411736315596,0.0,1.7482540632861827,2.8000462737595484,6.922432512451053,8.669754134563604,18.175709324316173,0.0,1.7482540632861827,6.92138934229537,2.8000462737595484,8.669754134563604,5.161954732310008,9.72010189619516,5.105000679420073,12.02685490358401,12.083611504505512,9.888731369720631,9.889883771241784,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>",unlabeled,"|3,1>","|5,0>","|4,0>"
6.922,4.0,0.132045,5.74554174991358,0.5,-0.43,-0.6301215571886019,-0.0009116717948387532,0.0009116717948387532,0.0,1.8936385660567794,3.157155574924957,6.922432512451053,8.815159406712993,18.175709324316173,0.0,1.8936385660567794,6.921451979602267,3.157155574924957,8.815159406712993,5.492406316089202,10.07556650245148,5.392698881044879,12.314508698465303,12.413924995048333,10.165363624001827,10.168464929125705,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>",unlabeled,"|3,1>","|5,0>","|4,0>"
6.922,4.0,0.132045,5.74554174991358,0.5,-0.42,-0.5693216291309255,-0.0008838339206533874,0.0008838339206533874,0.0,2.0320885006434963,3.494855372156067,6.922432512451053,8.953637179173896,18.175709324316173,0.0,2.0320885006434963,6.92152583232874,3.494855372156067,8.953637179173896,5.843017325498835,10.408268849058771,5.684348970282215,12.606113795848117,12.764376964765248,10.449111838343669,10.457778310909958,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>",unlabeled,"|3,1>","|5,0>","|4,0>"
6.922,4.0,0.132045,5.74554174991358,0.5,-0.41000000000000003,-0.5162065217881491,-0.0008497954352009174,0.0008497954352009174,0.0,2.1636605760659364,3.8111146303437238,6.922432512451053,9.085243293081788,18.175709324316173,0.0,2.1636605760659364,6.921625650276539,3.8111146303437238,9.085243293081788,6.211454866671886,10.73832605760093,5.977219051040464,12.898939197533892,13.132627058890677,10.756786388298849,10.71571080132125,"|0,0>","|1,0>","|0,1>","|2,0>","|1,1>","|2,1>","|0,2>","|3,0>",unlabeled,"|3,1>","|5,0>","|4,0>"
