frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
6.922,3.5,0.150812,6.56423208434489,0.5,-0.44665623704023766,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.4466540228171032,crossing,5,7,"|2,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.4181482140318324,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.41313351828497213,crossing,6,11,"|0,2>","|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.41000000000000003,avoided,6,10,"|0,2>","|5,0>",0.020594089259901693
6.922,3.5,0.150812,6.56423208434489,0.5,-0.40581491467388486,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.3917195608535242,crossing,2,5,"|0,1>","|2,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.38,avoided,6,10,"|0,2>","|5,0>",0.01767072863491137
6.922,3.5,0.150812,6.56423208434489,0.5,-0.37713854887869197,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.3771362143671113,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.32566567767980426,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.3114978800101092,crossing,4,5,"|1,1>","|2,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.30846175094468736,crossing,6,8,"|0,2>",unlabeled,0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.3048321208518313,crossing,8,10,unlabeled,"|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.27545494115518726,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.25261209011957275,crossing,8,11,unlabeled,"|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.24710210750710687,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.2252980847954447,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.19336119734129284,crossing,4,7,"|1,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.17443606682103396,crossing,5,8,"|2,1>",unlabeled,0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.16999999999999998,avoided,6,9,"|0,2>","|3,1>",0.03860064756202064
6.922,3.5,0.150812,6.56423208434489,0.5,-0.10195125411903719,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,-0.06,avoided,5,11,"|2,1>","|4,0>",0.01974858294803994
6.922,3.5,0.150812,6.56423208434489,0.5,0.06000000000000005,avoided,5,11,"|2,1>","|4,0>",0.019748582948139415
6.922,3.5,0.150812,6.56423208434489,0.5,0.10195125411908165,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.17000000000000004,avoided,6,9,"|0,2>","|3,1>",0.03860064756221959
6.922,3.5,0.150812,6.56423208434489,0.5,0.17443606682100038,crossing,5,8,"|2,1>",unlabeled,0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.19336119734119006,crossing,4,7,"|1,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.22529808479545022,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.2471021075067403,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.2526120901196258,crossing,8,11,unlabeled,"|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.275454941155183,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.30483212085182587,crossing,8,10,unlabeled,"|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.30846175094468703,crossing,6,8,"|0,2>",unlabeled,0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.31149788001011963,crossing,4,5,"|1,1>","|2,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.32566567767982685,crossing,6,10,"|0,2>","|5,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.3771362143671536,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.37713854887871673,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.38,avoided,6,10,"|0,2>","|5,0>",0.01767072863360397
6.922,3.5,0.150812,6.56423208434489,0.5,0.39171956085348203,crossing,2,5,"|0,1>","|2,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.4058149146739054,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.41000000000000003,avoided,6,10,"|0,2>","|5,0>",0.02059408925920536
6.922,3.5,0.150812,6.56423208434489,0.5,0.41313351828502903,crossing,6,11,"|0,2>","|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.41814821403191843,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.4466540228170782,crossing,5,7,"|2,1>","|3,0>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.4466562370402651,crossing,8,9,unlabeled,"|3,1>",0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.49927130623765187,crossing,4,6,unlabeled,unlabeled,0.0
6.922,3.5,0.150812,6.56423208434489,0.5,0.49935625465509065,crossing,1,3,unlabeled,unlabeled,0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.4992487987502963,crossing,1,3,unlabeled,unlabeled,0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.49914965383060794,crossing,5,6,unlabeled,unlabeled,0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.44665951611686433,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.4466569114447079,crossing,4,7,"|2,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.4181611663984625,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.4132406449333024,crossing,6,11,"|1,2>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.021358480782538436
6.922,3.0,0.17604,7.660287200882223,0.5,-0.4058153487899081,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.391764983964971,crossing,2,4,"|0,1>","|2,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.38,avoided,6,10,"|1,2>","|5,0>",0.018728475141358558
6.922,3.0,0.17604,7.660287200882223,0.5,-0.37720789337787014,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.3772076631478643,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.3256614945009225,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.3115246864248837,crossing,4,5,"|2,1>","|1,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.30857100228932505,crossing,6,8,"|1,2>","|0,2>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.30494846418292837,crossing,8,10,"|0,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.275454610114377,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.25272076309612124,crossing,8,11,"|0,2>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.24707516019669978,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.22529809622345734,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.19352583812356267,crossing,5,7,"|1,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.17458018586027935,crossing,4,8,"|2,1>","|0,2>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.16999999999999998,avoided,6,9,"|1,2>","|3,1>",0.03552357107597004
6.922,3.0,0.17604,7.660287200882223,0.5,-0.10227949598455592,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,-0.06,avoided,4,11,"|2,1>","|4,0>",0.02072098623980878
6.922,3.0,0.17604,7.660287200882223,0.5,0.06000000000000005,avoided,4,11,"|2,1>","|4,0>",0.02072098624064722
6.922,3.0,0.17604,7.660287200882223,0.5,0.10227949598467298,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.17000000000000004,avoided,6,9,"|1,2>","|3,1>",0.03552357107669479
6.922,3.0,0.17604,7.660287200882223,0.5,0.17458018586020357,crossing,4,8,"|2,1>","|0,2>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.19352583812341728,crossing,5,7,"|1,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.22529809622345806,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.24707516019647335,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.2527207630962142,crossing,8,11,"|0,2>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.2754546101143692,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.30494846418292604,crossing,8,10,"|0,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.308571002289311,crossing,6,8,"|1,2>","|0,2>",0.0
