beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.1,-0.4999920084109626,crossing,1,2,unlabeled,unlabeled,0.0
0.1,-0.4999918540242753,crossing,5,7,unlabeled,unlabeled,0.0
0.1,-0.4466371035798707,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.4466370997447388,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,-0.4358498483607188,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,-0.435839487239907,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,-0.37551246476711775,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.3375567364202091,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,-0.3352950776988406,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,-0.31419267626704567,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,-0.24460952787788615,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,-0.24460928021729103,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,-0.17662298532184983,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,-0.1655374224689251,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,-0.0893495633205335,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.0,avoided,9,10,unlabeled,"|0,2>",0.09634685713592717
0.1,0.0893495633218018,crossing,7,8,"|2,1>","|5,0>",0.0
0.1,0.16553742246885073,crossing,4,5,"|4,0>","|1,1>",0.0
0.1,0.17662298532152712,crossing,7,9,"|2,1>",unlabeled,0.0
0.1,0.24460928021728726,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.24460952787829204,crossing,3,6,"|0,1>","|3,0>",0.0
0.1,0.3141926762669549,crossing,3,4,"|0,1>","|4,0>",0.0
0.1,0.3352950776986108,crossing,5,8,"|1,1>","|5,0>",0.0
0.1,0.3375567364197853,crossing,5,9,"|1,1>",unlabeled,0.0
0.1,0.37551246476717903,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.43583948723987337,crossing,3,8,"|0,1>","|5,0>",0.0
0.1,0.43584984836074975,crossing,3,9,"|0,1>",unlabeled,0.0
0.1,0.44663709974475646,crossing,4,6,"|4,0>","|3,0>",0.0
0.1,0.4466371035793949,crossing,10,11,"|0,2>","|6,0>",0.0
0.1,0.4999918540246906,crossing,5,7,unlabeled,unlabeled,0.0
